,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
272,4,19,0,19,1,-1.0,0
273,9,21,0,16,2,-1.0,0
274,9,19,0,7,1,-1.0,0
275,4,17,0,12,2,-1.0,0
276,7,21,0,17,2,-1.0,0
277,9,17,0,7,3,-1.0,0
278,7,17,0,12,2,1.0,1
279,9,21,0,14,2,-1.0,0
280,9,19,0,12,0,-1.0,1
281,K,21,0,20,0,-1.0,1
282,2,21,0,15,1,-1.0,0
283,K,21,0,18,0,-1.0,1
284,2,25,1,13,1,1.0,1
285,8,18,0,16,1,1.0,1
286,6,19,0,9,2,-1.0,0
287,K,18,0,10,2,-1.0,0
288,4,23,1,4,2,-1.0,0
289,8,18,0,13,2,-1.0,0
290,9,19,0,18,1,-1.0,0
291,2,18,0,20,0,1.0,0
292,6,21,0,18,1,-1.0,0
293,6,21,0,17,1,0.0,1
294,3,20,0,6,3,-1.0,0
295,4,24,1,16,2,1.0,1
296,K,21,0,14,2,-1.0,0
297,7,17,0,8,2,1.0,1
298,3,22,1,20,1,-1.0,0
299,Q,20,0,11,2,-1.0,0
300,7,22,1,21,0,1.0,0
301,4,19,0,12,3,-1.0,0
302,4,20,0,20,1,-1.0,0
303,7,17,0,19,1,-1.0,0
304,10,20,0,15,2,-1.0,0
305,Q,17,0,12,2,-1.0,0
306,K,20,0,17,1,-1.0,0
307,5,20,0,12,2,0.0,1
308,J,26,1,12,2,-1.0,0
309,2,20,0,12,1,-1.0,0
310,10,19,0,17,1,-1.0,0
311,3,19,0,10,2,-1.0,0
312,9,17,0,15,4,-1.0,0
313,Q,18,0,13,3,-1.0,0
314,J,19,0,16,2,-1.0,0
315,3,17,0,13,1,-1.0,0
316,3,22,1,10,3,-1.0,0
317,7,18,0,11,1,1.0,1
318,10,18,0,21,0,1.0,0
319,7,26,1,12,1,-1.0,0
320,7,21,0,6,3,-1.0,0
321,7,17,0,12,2,-1.0,0
322,4,24,1,17,2,-1.0,0
323,3,24,1,19,1,-1.0,0
324,J,23,1,19,1,-1.0,0
325,6,20,0,15,3,-1.0,0
326,A,23,1,11,1,1.0,1
327,4,19,0,16,1,-1.0,0
328,5,17,0,9,2,-1.0,0
329,4,26,1,17,1,-1.0,0
330,A,21,0,16,0,-1.0,1
331,A,21,0,6,0,-1.0,1
332,7,22,1,6,3,-1.0,0
333,2,21,0,15,1,0.0,1
334,3,19,0,20,1,-1.0,0
335,3,22,1,9,3,-1.0,0
336,8,26,1,18,1,-1.0,0
337,6,23,1,18,2,-1.0,0
338,7,21,0,10,3,-1.0,0
339,2,22,1,17,1,1.0,1
340,3,22,1,15,1,1.0,1
341,J,20,0,12,0,-1.0,1
342,4,23,1,13,2,-1.0,0
343,J,22,1,20,1,-1.0,0
344,6,17,0,17,1,-1.0,0
345,10,21,0,13,0,-1.0,1
346,6,23,1,20,1,-1.0,0
347,4,23,1,13,1,-1.0,0
348,A,24,1,18,1,-1.0,0
349,K,19,0,14,1,-1.0,0
350,7,20,0,21,0,1.0,0
351,6,26,1,21,0,1.0,0
352,Q,17,0,13,2,1.0,1
353,6,21,0,13,2,0.0,1
354,9,19,0,16,2,-1.0,0
355,Q,21,0,21,0,0.0,0
356,2,22,1,11,3,-1.0,0
357,3,18,0,12,2,-1.0,0
358,4,25,1,17,2,1.0,1
359,8,23,1,18,1,1.0,1
360,K,21,0,7,0,-1.0,1
361,2,18,0,8,2,-1.0,0
362,8,19,0,21,0,1.0,0
363,A,17,0,16,1,-1.0,0
364,3,23,1,11,2,-1.0,0
365,10,20,0,11,1,-1.0,0
366,9,18,0,16,1,-1.0,0
367,A,21,0,15,0,-1.0,1
368,6,17,0,12,2,-1.0,0
369,3,24,1,15,1,1.0,1
370,4,22,1,9,2,-1.0,0
371,J,19,0,20,1,1.0,1
372,A,18,0,11,1,1.0,1
373,K,20,0,11,1,1.0,1
374,8,21,0,9,2,-1.0,0
375,2,22,1,14,2,-1.0,0
376,2,20,0,18,3,-1.0,0
377,Q,22,1,14,1,-1.0,0
378,4,23,1,17,2,-1.0,0
379,5,23,1,21,0,1.0,0
380,9,22,1,21,0,1.0,0
381,J,18,0,13,3,-1.0,0
382,A,21,0,7,0,-1.0,1
383,J,21,0,4,0,-1.0,1
384,8,19,0,16,1,-1.0,0
385,4,20,0,17,2,-1.0,0
386,K,17,0,15,2,-1.0,0
387,9,19,0,16,1,1.0,1
388,K,17,0,17,2,-1.0,0
389,4,21,0,20,2,-1.0,0
390,4,25,1,8,3,-1.0,0
391,7,24,1,20,1,-1.0,0
392,A,21,0,18,0,-1.0,1
393,8,21,0,20,1,-1.0,0
394,7,19,0,20,0,1.0,0
395,J,20,0,16,2,1.0,1
396,9,20,0,19,1,-1.0,0
397,K,20,0,13,0,-1.0,1
398,8,23,1,14,1,-1.0,0
399,10,20,0,10,2,-1.0,0
400,6,25,1,15,2,-1.0,0
401,7,20,0,17,1,-1.0,0
402,4,22,1,12,2,-1.0,0
403,9,19,0,14,2,-1.0,0
404,J,19,0,17,1,-1.0,0
405,Q,22,1,10,2,-1.0,0
406,8,21,0,18,1,-1.0,0
407,2,20,0,20,1,-1.0,0
408,3,18,0,12,1,1.0,1
409,5,24,1,21,0,1.0,0
410,7,17,0,17,2,-1.0,0
411,7,18,0,12,0,-1.0,1
412,2,24,1,6,2,-1.0,0
413,J,20,0,21,0,1.0,0
414,2,18,0,8,2,-1.0,0
415,7,18,0,15,1,-1.0,0
416,3,21,0,17,1,-1.0,0
417,Q,17,0,17,2,-1.0,0
418,2,19,0,16,1,-1.0,0
419,J,25,1,16,1,-1.0,0
420,3,24,1,21,0,1.0,0
421,3,23,1,9,2,1.0,1
422,10,19,0,16,1,-1.0,0
423,A,20,0,12,2,-1.0,0
424,8,18,0,13,1,-1.0,0
425,A,18,0,15,2,-1.0,0
426,A,17,0,21,0,1.0,0
427,2,23,1,12,2,-1.0,0
428,10,21,0,14,0,-1.0,1
429,10,21,0,20,0,-1.0,1
430,10,20,0,19,1,-1.0,0
431,10,22,1,19,1,-1.0,0
432,7,19,0,20,1,-1.0,0
433,K,21,0,17,1,0.0,1
434,10,17,0,13,3,-1.0,0
435,4,24,1,14,1,1.0,1
436,2,24,1,14,1,-1.0,0
437,7,17,0,8,2,-1.0,0
438,8,22,1,13,1,1.0,1
439,4,21,0,20,1,-1.0,0
440,Q,20,0,8,1,-1.0,0
441,J,18,0,11,2,-1.0,0
442,A,21,0,17,0,-1.0,1
443,7,18,0,10,1,-1.0,0
444,Q,20,0,14,0,-1.0,1
445,6,22,1,12,1,-1.0,0
446,9,18,0,19,1,-1.0,0
447,6,19,0,15,2,-1.0,0
448,5,23,1,19,1,-1.0,0
449,J,17,0,18,1,-1.0,0
450,6,20,0,10,2,-1.0,0
451,K,22,1,15,1,-1.0,0
452,9,18,0,11,2,-1.0,0
453,5,18,0,10,2,-1.0,0
454,10,20,0,11,1,-1.0,0
455,9,19,0,12,0,-1.0,1
456,3,17,0,13,1,-1.0,0
457,9,19,0,17,1,-1.0,0
458,8,21,0,20,1,-1.0,0
459,A,21,0,8,0,-1.0,1
460,Q,20,0,20,1,-1.0,0
461,2,17,0,13,2,1.0,1
462,3,17,0,17,2,-1.0,0
463,9,23,1,10,2,-1.0,0
464,9,23,1,21,0,1.0,0
465,K,21,0,13,0,-1.0,1
466,3,20,0,18,1,-1.0,0
467,7,25,1,14,3,-1.0,0
468,3,20,0,12,3,-1.0,0
469,A,20,0,10,1,1.0,1
470,4,22,1,18,1,-1.0,0
471,K,20,0,14,0,-1.0,1
472,3,26,1,9,2,-1.0,0
