,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
36559,J,23,1,17,1,-1,0,,,,,,,
36560,5,20,0,7,2,-1,0,,,,,,,
36561,8,23,1,12,0,1,0,,,,,,,
36562,A,21,0,14,0,-1,1,,,,,,,
36563,7,17,0,10,3,-1,0,,,,,,,
36564,9,23,1,7,3,-1,0,,,,,,,
36565,J,20,0,19,0,-1,1,,,,,,,
36566,9,19,0,13,0,-1,1,,,,,,,
36567,4,19,0,20,4,-1,0,,,,,,,
36568,Q,20,0,20,1,1,1,,,,,,,
36569,10,25,1,18,2,1,1,,,,,,,
36570,3,20,0,11,2,-1,0,,,,,,,
36571,9,22,1,6,3,-1,0,,,,,,,
36572,7,18,0,11,2,-1,0,,,,,,,
36573,Q,25,1,10,3,-1,0,,,,,,,
36574,10,17,0,11,2,-1,0,,,,,,,
36575,3,18,0,12,1,-1,0,,,,,,,
36576,4,21,0,7,1,-1,0,,,,,,,
36577,4,18,0,16,3,-1,0,,,,,,,
36578,A,21,0,21,0,0,0,,,,,,,
36579,Q,17,0,16,1,-1,0,,,,,,,
36580,7,23,1,16,1,-1,0,,,,,,,
36581,Q,17,0,8,3,-1,0,,,,,,,
36582,Q,20,0,8,1,-1,0,,,,,,,
36583,2,19,0,21,0,1,0,,,,,,,
36584,K,18,0,17,2,-1,0,,,,,,,
36585,6,21,0,17,1,-1,0,,,,,,,
36586,7,17,0,13,0,-1,1,,,,,,,
36587,J,21,0,12,0,-1,1,,,,,,,
36588,Q,20,0,12,0,-1,1,,,,,,,
36589,2,22,1,15,1,-1,0,,,,,,,
36590,8,19,0,16,0,-1,1,,,,,,,
36591,8,18,0,16,1,-1,0,,,,,,,
36592,2,26,1,14,1,1,1,,,,,,,
36593,Q,18,0,14,0,-1,1,,,,,,,
36594,A,21,0,18,0,-1,1,,,,,,,
36595,Q,18,0,15,0,-1,1,,,,,,,
36596,9,26,1,16,2,-1,0,,,,,,,
36597,9,20,0,18,0,-1,1,,,,,,,
36598,6,18,0,17,1,1,1,,,,,,,
36599,2,18,0,18,0,0,0,,,,,,,
36600,4,20,0,17,1,-1,0,,,,,,,
36601,A,18,0,20,1,-1,0,,,,,,,
36602,6,18,0,19,1,-1,0,,,,,,,
36603,7,17,0,20,2,-1,0,,,,,,,
36604,9,19,0,11,1,-1,0,,,,,,,
36605,4,25,1,13,1,-1,0,,,,,,,
36606,6,20,0,17,1,-1,0,,,,,,,
36607,9,20,0,20,1,1,1,,,,,,,
36608,K,26,1,15,1,-1,0,,,,,,,
36609,A,17,0,12,1,-1,0,,,,,,,
36610,9,21,0,15,1,-1,0,,,,,,,
36611,9,19,0,13,0,-1,1,,,,,,,
36612,4,18,0,11,2,-1,0,,,,,,,
36613,7,22,1,14,2,-1,0,,,,,,,
36614,7,19,0,13,1,-1,0,,,,,,,
36615,8,23,1,13,3,-1,0,,,,,,,
36616,3,22,1,9,4,-1,0,,,,,,,
36617,Q,23,1,14,1,-1,0,,,,,,,
36618,4,21,0,16,1,-1,0,,,,,,,
36619,3,18,0,8,1,-1,0,,,,,,,
36620,A,17,0,18,1,-1,0,,,,,,,
36621,3,18,0,8,2,-1,0,,,,,,,
36622,J,20,0,13,0,-1,1,,,,,,,
36623,6,19,0,12,1,1,1,,,,,,,
36624,7,20,0,7,2,-1,0,,,,,,,
36625,3,21,0,12,1,-1,0,,,,,,,
36626,9,23,1,20,1,-1,0,,,,,,,
36627,5,21,0,17,1,0,1,,,,,,,
36628,J,17,0,13,0,-1,1,,,,,,,
36629,9,17,0,20,1,-1,0,,,,,,,
36630,Q,20,0,9,2,1,1,,,,,,,
36631,4,20,0,18,1,1,1,,,,,,,
36632,K,20,0,18,0,-1,1,,,,,,,
36633,J,20,0,10,2,-1,0,,,,,,,
36634,7,18,0,14,2,-1,0,,,,,,,
36635,10,20,0,18,0,-1,1,,,,,,,
36636,5,25,1,21,0,1,0,,,,,,,
36637,Q,21,0,17,1,-1,0,,,,,,,
36638,9,17,0,20,1,-1,0,,,,,,,
36639,6,25,1,16,1,-1,0,,,,,,,
36640,8,21,0,13,1,-1,0,,,,,,,
36641,10,19,0,17,0,-1,1,,,,,,,
36642,J,20,0,21,0,1,0,,,,,,,
36643,4,17,0,12,2,-1,0,,,,,,,
36644,J,20,0,5,1,-1,0,,,,,,,
36645,10,17,0,17,1,-1,0,,,,,,,
36646,8,18,0,19,1,-1,0,,,,,,,
36647,9,21,0,14,1,-1,0,,,,,,,
36648,K,21,0,9,0,-1,1,,,,,,,
36649,5,19,0,8,2,-1,0,,,,,,,
36650,6,21,0,14,0,-1,1,,,,,,,
36651,9,22,1,12,1,-1,0,,,,,,,
36652,7,23,1,10,3,-1,0,,,,,,,
36653,A,17,0,14,0,-1,1,,,,,,,
36654,Q,20,0,19,0,-1,1,,,,,,,
36655,A,18,0,21,0,1,0,,,,,,,
36656,J,20,0,16,0,-1,1,,,,,,,
36657,J,25,1,20,1,-1,0,,,,,,,
36658,3,21,0,16,1,-1,0,,,,,,,
36659,4,26,1,20,1,-1,0,,,,,,,
36660,10,17,0,16,1,1,1,,,,,,,
36661,8,21,0,19,1,0,1,,,,,,,
36662,4,24,1,6,2,-1,0,,,,,,,
36663,J,19,0,20,1,-1,0,,,,,,,
36664,2,18,0,16,2,-1,0,,,,,,,
36665,6,19,0,20,1,-1,0,,,,,,,
36666,A,22,1,9,3,-1,0,,,,,,,
36667,3,20,0,13,1,-1,0,,,,,,,
36668,6,19,0,12,0,-1,1,,,,,,,
36669,5,18,0,6,3,-1,0,,,,,,,
36670,4,17,0,12,2,-1,0,,,,,,,
36671,A,19,0,14,0,-1,1,,,,,,,
36672,8,19,0,16,0,-1,1,,,,,,,
36673,4,24,1,7,3,-1,0,,,,,,,
36674,9,24,1,19,1,-1,0,,,,,,,
36675,7,17,0,17,1,1,1,,,,,,,
36676,2,24,1,19,1,-1,0,,,,,,,
36677,Q,22,1,15,1,-1,0,,,,,,,
36678,K,19,0,16,1,-1,0,,,,,,,
36679,K,19,0,6,1,-1,0,,,,,,,
36680,2,24,1,15,4,-1,0,,,,,,,
36681,3,19,0,12,2,1,1,,,,,,,
36682,4,17,0,14,2,-1,0,,,,,,,
36683,10,20,0,11,1,-1,0,,,,,,,
36684,2,22,1,4,2,1,1,,,,,,,
36685,A,17,0,20,1,-1,0,,,,,,,
36686,K,19,0,14,0,-1,1,,,,,,,
36687,J,18,0,20,1,-1,0,,,,,,,
36688,J,17,0,18,2,-1,0,,,,,,,
36689,6,21,0,8,2,-1,0,,,,,,,
36690,3,18,0,14,2,-1,0,,,,,,,
36691,Q,21,0,7,2,-1,0,,,,,,,
36692,2,19,0,12,2,-1,0,,,,,,,
36693,5,22,1,12,0,1,0,,,,,,,
36694,5,24,1,7,3,-1,0,,,,,,,
36695,10,20,0,21,0,1,0,,,,,,,
36696,A,25,1,20,1,-1,0,,,,,,,
36697,3,22,1,12,1,1,1,,,,,,,
36698,K,18,0,9,2,-1,0,,,,,,,
36699,3,20,0,16,1,-1,0,,,,,,,
36700,4,17,0,15,1,1,1,,,,,,,
36701,2,18,0,20,0,1,0,,,,,,,
36702,10,22,1,8,2,-1,0,,,,,,,
36703,A,20,0,10,1,-1,0,,,,,,,
36704,J,18,0,17,1,-1,0,,,,,,,
36705,3,19,0,9,3,-1,0,,,,,,,
36706,A,21,0,10,2,-1,0,,,,,,,
36707,6,18,0,13,1,1,1,,,,,,,
36708,K,20,0,17,0,-1,1,,,,,,,
36709,8,18,0,10,1,-1,0,,,,,,,
36710,9,20,0,9,1,-1,0,,,,,,,
36711,10,20,0,14,0,-1,1,,,,,,,
36712,5,25,1,20,1,-1,0,,,,,,,
36713,6,26,1,19,0,1,0,,,,,,,
36714,K,23,1,11,2,-1,0,,,,,,,
36715,10,21,0,9,2,-1,0,,,,,,,
36716,3,25,1,12,3,-1,0,,,,,,,
36717,4,26,1,20,1,-1,0,,,,,,,
36718,A,20,0,14,0,-1,1,,,,,,,
36719,3,19,0,17,1,-1,0,,,,,,,
36720,K,18,0,12,0,-1,1,,,,,,,
36721,3,23,1,20,1,-1,0,,,,,,,
36722,A,20,0,9,3,-1,0,,,,,,,
36723,9,18,0,21,0,1,0,,,,,,,
36724,6,22,1,19,2,-1,0,,,,,,,
36725,J,24,1,13,0,1,0,,,,,,,
36726,J,22,1,14,1,1,1,,,,,,,
36727,J,25,1,7,2,-1,0,,,,,,,
36728,A,19,0,20,2,-1,0,,,,,,,
36729,A,22,1,17,1,-1,0,,,,,,,
36730,4,17,0,20,1,-1,0,,,,,,,
36731,A,19,0,11,1,1,1,,,,,,,
36732,J,20,0,17,0,-1,1,,,,,,,
36733,7,24,1,15,2,-1,0,,,,,,,
36734,7,18,0,20,1,-1,0,,,,,,,
36735,J,21,0,12,0,-1,1,,,,,,,
36736,10,21,0,17,2,-1,0,,,,,,,
36737,3,17,0,13,2,-1,0,,,,,,,
36738,8,18,0,19,1,-1,0,,,,,,,
36739,Q,21,0,17,1,-1,0,,,,,,,
36740,K,17,0,18,1,-1,0,,,,,,,
36741,A,21,0,15,0,-1,1,,,,,,,
36742,10,23,1,11,1,1,1,,,,,,,
36743,6,21,0,12,2,-1,0,,,,,,,
36744,9,26,1,11,2,-1,0,,,,,,,
36745,3,17,0,12,2,-1,0,,,,,,,
36746,5,23,1,18,1,-1,0,,,,,,,
36747,5,21,0,20,1,-1,0,,,,,,,
36748,10,19,0,21,0,1,0,,,,,,,
36749,Q,20,0,10,1,-1,0,,,,,,,
36750,6,26,1,14,0,1,0,,,,,,,
36751,8,18,0,19,1,1,1,,,,,,,
36752,2,17,0,9,4,-1,0,,,,,,,
36753,5,25,1,9,2,1,1,,,,,,,
36754,6,18,0,20,1,-1,0,,,,,,,
36755,J,20,0,17,0,-1,1,,,,,,,
36756,2,25,1,14,1,-1,0,,,,,,,
36757,J,18,0,10,1,1,1,,,,,,,
36758,Q,21,0,15,0,-1,1,,,,,,,
36759,6,23,1,14,1,1,1,,,,,,,
36760,5,24,1,14,2,-1,0,,,,,,,
36761,8,25,1,19,1,-1,0,,,,,,,
36762,4,23,1,13,1,-1,0,,,,,,,
36763,3,22,1,19,0,1,0,,,,,,,
36764,A,19,0,13,0,-1,1,,,,,,,
36765,4,23,1,19,1,1,1,,,,,,,
36766,2,20,0,14,2,-1,0,,,,,,,
36767,7,18,0,14,2,1,1,,,,,,,
36768,9,19,0,12,0,-1,1,,,,,,,
36769,5,19,0,12,2,-1,0,,,,,,,
36770,A,20,0,12,0,-1,1,,,,,,,
36771,9,19,0,14,0,-1,1,,,,,,,
36772,3,23,1,20,1,-1,0,,,,,,,
36773,7,17,0,13,0,-1,1,,,,,,,
36774,8,26,1,17,1,-1,0,,,,,,,
36775,2,19,0,6,3,-1,0,,,,,,,
36776,8,20,0,12,0,-1,1,,,,,,,
36777,K,24,1,10,1,1,1,,,,,,,
36778,K,18,0,18,2,-1,0,,,,,,,
36779,9,19,0,17,0,-1,1,,,,,,,
36780,2,25,1,20,0,1,0,,,,,,,
36781,J,20,0,12,0,-1,1,,,,,,,
36782,8,25,1,15,2,-1,0,,,,,,,
36783,A,21,0,9,0,-1,1,,,,,,,
36784,J,23,1,11,3,1,1,,,,,,,
36785,5,25,1,7,1,1,1,,,,,,,
36786,3,24,1,13,1,-1,0,,,,,,,
36787,J,20,0,15,0,-1,1,,,,,,,
36788,5,24,1,8,2,-1,0,,,,,,,
36789,4,19,0,15,3,-1,0,,,,,,,
36790,4,19,0,20,1,-1,0,,,,,,,
36791,A,21,0,12,0,-1,1,,,,,,,
36792,K,18,0,18,1,-1,0,,,,,,,
36793,K,21,0,17,1,-1,0,,,,,,,
36794,2,17,0,19,0,1,0,,,,,,,
36795,4,24,1,8,3,-1,0,,,,,,,
36796,6,23,1,12,2,1,1,,,,,,,
36797,J,19,0,16,0,-1,1,,,,,,,
36798,9,23,1,12,0,1,0,,,,,,,
36799,A,17,0,7,2,1,1,,,,,,,
36800,A,21,0,20,0,-1,1,,,,,,,
36801,3,20,0,17,1,-1,0,,,,,,,
36802,A,19,0,17,2,-1,0,,,,,,,
36803,J,25,1,11,4,-1,0,,,,,,,
36804,8,19,0,12,0,-1,1,,,,,,,
36805,Q,23,1,17,1,-1,0,,,,,,,
36806,6,26,1,17,1,-1,0,,,,,,,
36807,K,18,0,17,1,-1,0,,,,,,,
36808,J,19,0,21,0,1,0,,,,,,,
36809,7,26,1,16,4,-1,0,,,,,,,
36810,6,19,0,10,2,-1,0,,,,,,,
36811,5,25,1,15,1,-1,0,,,,,,,
36812,A,21,0,14,0,-1,1,,,,,,,
36813,10,17,0,8,2,-1,0,,,,,,,
36814,2,24,1,18,0,1,0,,,,,,,
36815,7,21,0,20,1,-1,0,,,,,,,
36816,8,18,0,13,0,-1,1,,,,,,,
36817,K,23,1,18,1,-1,0,,,,,,,
36818,2,22,1,18,1,-1,0,,,,,,,
36819,4,22,1,21,0,1,0,,,,,,,
36820,Q,20,0,20,1,-1,0,,,,,,,
36821,4,25,1,21,0,1,0,,,,,,,
36822,6,17,0,10,2,-1,0,,,,,,,
36823,10,21,0,19,0,-1,1,,,,,,,
36824,7,17,0,13,0,-1,1,,,,,,,
36825,K,19,0,8,2,-1,0,,,,,,,
36826,A,20,0,13,0,-1,1,,,,,,,
36827,8,17,0,18,2,-1,0,,,,,,,
36828,7,17,0,14,0,-1,1,,,,,,,
36829,10,20,0,11,1,-1,0,,,,,,,
36830,9,22,1,8,3,-1,0,,,,,,,
36831,2,22,1,13,1,1,1,,,,,,,
36832,10,21,0,13,0,-1,1,,,,,,,
36833,K,18,0,4,3,1,1,,,,,,,
36834,4,19,0,18,2,-1,0,,,,,,,
36835,9,25,1,16,1,-1,0,,,,,,,
36836,10,17,0,13,0,-1,1,,,,,,,
36837,J,22,1,18,1,-1,0,,,,,,,
36838,4,26,1,17,1,-1,0,,,,,,,
36839,8,18,0,10,2,-1,0,,,,,,,
36840,A,17,0,15,0,-1,1,,,,,,,
36841,J,23,1,15,1,-1,0,,,,,,,
36842,6,21,0,19,1,0,1,,,,,,,
36843,9,19,0,14,0,-1,1,,,,,,,
36844,8,19,0,19,1,-1,0,,,,,,,
36845,8,17,0,17,1,-1,0,,,,,,,
36846,9,19,0,16,0,-1,1,,,,,,,
36847,6,17,0,15,4,1,1,,,,,,,
36848,5,21,0,13,0,-1,1,,,,,,,
36849,K,20,0,19,0,-1,1,,,,,,,
36850,8,18,0,16,1,-1,0,,,,,,,
36851,J,19,0,11,1,-1,0,,,,,,,
36852,8,17,0,20,1,-1,0,,,,,,,
36853,7,17,0,12,0,-1,1,,,,,,,
36854,6,18,0,14,0,-1,1,,,,,,,
36855,6,25,1,15,1,1,1,,,,,,,
36856,5,21,0,11,1,0,1,,,,,,,
36857,2,20,0,16,1,-1,0,,,,,,,
36858,9,25,1,14,2,-1,0,,,,,,,
36859,2,19,0,21,0,1,0,,,,,,,
36860,Q,20,0,21,0,1,0,,,,,,,
36861,J,20,0,13,0,-1,1,,,,,,,
36862,J,21,0,13,0,-1,1,,,,,,,
36863,3,20,0,13,1,1,1,,,,,,,
36864,9,24,1,12,1,1,1,,,,,,,
36865,9,19,0,15,0,-1,1,,,,,,,
36866,8,17,0,11,1,1,1,,,,,,,
36867,A,23,1,15,3,-1,0,,,,,,,
36868,6,20,0,17,4,-1,0,,,,,,,
36869,4,18,0,8,2,-1,0,,,,,,,
36870,10,18,0,15,3,-1,0,,,,,,,
36871,K,17,0,10,2,-1,0,,,,,,,
36872,A,20,0,15,0,-1,1,,,,,,,
36873,3,20,0,10,3,-1,0,,,,,,,
36874,8,22,1,11,1,1,1,,,,,,,
36875,J,20,0,14,0,-1,1,,,,,,,
36876,5,17,0,18,1,-1,0,,,,,,,
36877,10,19,0,15,0,-1,1,,,,,,,
36878,9,18,0,19,1,-1,0,,,,,,,
36879,J,20,0,19,0,-1,1,,,,,,,
36880,10,20,0,15,0,-1,1,,,,,,,
36881,6,21,0,10,2,-1,0,,,,,,,
36882,2,20,0,19,2,-1,0,,,,,,,
36883,5,17,0,12,1,-1,0,,,,,,,
36884,A,19,0,7,1,-1,0,,,,,,,
36885,7,17,0,20,0,1,0,,,,,,,
36886,A,21,0,21,0,0,0,,,,,,,
36887,K,19,0,15,1,-1,0,,,,,,,
36888,8,19,0,20,1,-1,0,,,,,,,
36889,J,22,1,13,2,-1,0,,,,,,,
36890,5,17,0,20,1,-1,0,,,,,,,
36891,K,20,0,19,1,-1,0,,,,,,,
36892,2,21,0,13,1,-1,0,,,,,,,
36893,5,18,0,8,2,-1,0,,,,,,,
36894,A,21,0,14,0,-1,1,,,,,,,
36895,2,18,0,14,2,-1,0,,,,,,,
36896,7,19,0,8,2,-1,0,,,,,,,
36897,9,18,0,13,0,-1,1,,,,,,,
36898,10,20,0,10,1,-1,0,,,,,,,
36899,6,22,1,20,1,-1,0,,,,,,,
36900,A,21,0,11,0,-1,1,,,,,,,
36901,2,18,0,20,1,-1,0,,,,,,,
36902,3,17,0,13,1,-1,0,,,,,,,
36903,6,18,0,19,2,-1,0,,,,,,,
36904,J,26,1,15,3,-1,0,,,,,,,
36905,7,26,1,17,1,-1,0,,,,,,,
36906,8,17,0,11,1,1,1,,,,,,,
36907,7,18,0,21,0,1,0,,,,,,,
36908,10,25,1,10,2,-1,0,,,,,,,
36909,Q,22,1,13,2,-1,0,,,,,,,
36910,A,22,1,21,0,1,0,,,,,,,
36911,K,20,0,13,0,-1,1,,,,,,,
36912,2,22,1,19,1,-1,0,,,,,,,
36913,8,23,1,14,1,-1,0,,,,,,,
36914,6,19,0,15,3,-1,0,,,,,,,
36915,K,20,0,17,0,-1,1,,,,,,,
36916,9,17,0,20,1,-1,0,,,,,,,
36917,K,17,0,14,0,-1,1,,,,,,,
36918,5,19,0,5,2,-1,0,,,,,,,
36919,5,18,0,20,1,-1,0,,,,,,,
36920,2,19,0,7,3,-1,0,,,,,,,
36921,8,26,1,16,4,1,1,,,,,,,
36922,3,25,1,12,1,-1,0,,,,,,,
36923,A,21,0,17,0,-1,1,,,,,,,
36924,10,20,0,12,0,-1,1,,,,,,,
36925,K,20,0,21,0,1,0,,,,,,,
36926,8,23,1,12,0,1,0,,,,,,,
36927,3,23,1,9,1,1,1,,,,,,,
36928,Q,20,0,12,0,-1,1,,,,,,,
36929,A,17,0,21,0,1,0,,,,,,,
36930,8,17,0,18,1,-1,0,,,,,,,
36931,9,21,0,20,1,-1,0,,,,,,,
36932,9,18,0,20,1,-1,0,,,,,,,
36933,4,19,0,15,3,-1,0,,,,,,,
36934,8,19,0,13,0,-1,1,,,,,,,
36935,K,18,0,20,1,-1,0,,,,,,,
36936,6,22,1,14,1,-1,0,,,,,,,
36937,8,25,1,14,2,-1,0,,,,,,,
36938,10,19,0,15,2,-1,0,,,,,,,
36939,Q,20,0,9,2,-1,0,,,,,,,
36940,4,21,0,14,1,-1,0,,,,,,,
36941,2,19,0,14,1,-1,0,,,,,,,
36942,5,22,1,16,1,-1,0,,,,,,,
36943,6,22,1,17,1,-1,0,,,,,,,
36944,J,20,0,17,0,-1,1,,,,,,,
36945,9,25,1,10,2,-1,0,,,,,,,
36946,4,21,0,16,1,-1,0,,,,,,,
36947,J,21,0,16,0,-1,1,,,,,,,
36948,9,18,0,10,2,1,1,,,,,,,
36949,J,22,1,20,1,-1,0,,,,,,,
36950,K,18,0,20,2,-1,0,,,,,,,
36951,A,21,0,12,0,-1,1,,,,,,,
36952,K,18,0,12,2,-1,0,,,,,,,
36953,8,24,1,7,3,-1,0,,,,,,,
36954,2,22,1,14,1,-1,0,,,,,,,
36955,J,20,0,13,0,-1,1,,,,,,,
36956,6,22,1,11,1,1,1,,,,,,,
36957,7,17,0,12,0,-1,1,,,,,,,
36958,2,22,1,18,2,-1,0,,,,,,,
36959,A,21,0,16,0,-1,1,,,,,,,
36960,5,17,0,20,1,-1,0,,,,,,,
36961,3,17,0,11,2,-1,0,,,,,,,
36962,3,20,0,10,1,1,1,,,,,,,
36963,K,24,1,21,0,1,0,,,,,,,
36964,6,25,1,19,1,-1,0,,,,,,,
36965,J,21,0,10,0,-1,1,,,,,,,
36966,5,21,0,17,1,0,1,,,,,,,
36967,Q,20,0,12,0,-1,1,,,,,,,
36968,8,20,0,12,2,-1,0,,,,,,,
36969,2,19,0,15,2,-1,0,,,,,,,
36970,8,19,0,19,1,-1,0,,,,,,,
36971,3,18,0,18,1,-1,0,,,,,,,
36972,3,21,0,9,1,-1,0,,,,,,,
36973,Q,20,0,10,1,-1,0,,,,,,,
36974,6,20,0,21,0,1,0,,,,,,,
36975,5,20,0,16,1,-1,0,,,,,,,
36976,6,18,0,18,1,-1,0,,,,,,,
36977,K,19,0,15,2,-1,0,,,,,,,
36978,10,22,1,20,1,-1,0,,,,,,,
36979,A,18,0,14,0,-1,1,,,,,,,
36980,2,18,0,14,1,-1,0,,,,,,,
36981,Q,20,0,21,0,1,0,,,,,,,
36982,J,17,0,17,3,-1,0,,,,,,,
36983,A,21,0,16,0,-1,1,,,,,,,
36984,Q,18,0,19,1,1,1,,,,,,,
36985,10,20,0,11,1,1,1,,,,,,,
36986,3,22,1,15,1,-1,0,,,,,,,
36987,7,26,1,20,1,-1,0,,,,,,,
36988,9,19,0,13,0,-1,1,,,,,,,
36989,Q,23,1,10,2,-1,0,,,,,,,
36990,2,17,0,13,2,-1,0,,,,,,,
36991,10,19,0,13,0,-1,1,,,,,,,
36992,9,19,0,15,0,-1,1,,,,,,,
36993,A,18,0,16,2,-1,0,,,,,,,
36994,6,17,0,16,1,-1,0,,,,,,,
36995,8,19,0,12,2,-1,0,,,,,,,
36996,10,19,0,11,1,-1,0,,,,,,,
36997,7,17,0,19,1,-1,0,,,,,,,
36998,7,20,0,6,2,-1,0,,,,,,,
36999,3,20,0,21,0,1,0,,,,,,,
37000,K,20,0,21,0,1,0,,,,,,,
37001,Q,19,0,9,1,-1,0,,,,,,,
37002,8,26,1,16,2,1,1,,,,,,,
37003,K,22,1,19,1,-1,0,,,,,,,
37004,10,20,0,9,1,-1,0,,,,,,,
37005,5,25,1,17,3,-1,0,,,,,,,
37006,3,20,0,21,0,1,0,,,,,,,
37007,5,18,0,16,1,-1,0,,,,,,,
37008,A,17,0,14,0,-1,1,,,,,,,
37009,8,25,1,9,4,-1,0,,,,,,,
37010,6,19,0,9,2,-1,0,,,,,,,
37011,8,18,0,17,1,1,1,,,,,,,
37012,8,20,0,16,1,-1,0,,,,,,,
37013,9,26,1,12,1,-1,0,,,,,,,
37014,9,19,0,9,1,-1,0,,,,,,,
37015,10,20,0,6,1,-1,0,,,,,,,
37016,4,18,0,19,0,1,0,,,,,,,
37017,6,24,1,5,3,-1,0,,,,,,,
37018,2,25,1,13,1,-1,0,,,,,,,
37019,2,20,0,21,0,1,0,,,,,,,
37020,3,19,0,16,1,-1,0,,,,,,,
37021,K,21,0,11,0,-1,1,,,,,,,
37022,K,20,0,19,0,-1,1,,,,,,,
37023,10,18,0,5,3,-1,0,,,,,,,
37024,4,21,0,8,2,-1,0,,,,,,,
37025,K,22,1,10,2,-1,0,,,,,,,
37026,3,22,1,11,1,1,1,,,,,,,
37027,K,18,0,20,2,-1,0,,,,,,,
37028,9,20,0,21,0,1,0,,,,,,,
37029,6,21,0,20,1,-1,0,,,,,,,
37030,J,22,1,12,0,1,0,,,,,,,
37031,4,19,0,17,2,-1,0,,,,,,,
37032,Q,21,0,14,0,-1,1,,,,,,,
37033,6,18,0,18,2,-1,0,,,,,,,
37034,7,18,0,17,2,-1,0,,,,,,,
37035,2,20,0,20,0,0,0,,,,,,,
37036,Q,22,1,18,1,-1,0,,,,,,,
37037,J,25,1,13,0,1,0,,,,,,,
37038,4,20,0,20,1,-1,0,,,,,,,
37039,8,18,0,19,1,-1,0,,,,,,,
37040,4,17,0,18,0,1,0,,,,,,,
37041,9,17,0,20,1,-1,0,,,,,,,
37042,7,17,0,15,0,-1,1,,,,,,,
37043,Q,19,0,20,1,-1,0,,,,,,,
37044,10,20,0,5,1,-1,0,,,,,,,
37045,3,26,1,14,1,-1,0,,,,,,,
37046,5,19,0,19,1,-1,0,,,,,,,
37047,Q,19,0,20,1,-1,0,,,,,,,
37048,K,21,0,20,0,-1,1,,,,,,,
37049,3,21,0,21,0,0,0,,,,,,,
37050,8,20,0,11,2,1,1,,,,,,,
37051,5,25,1,21,0,1,0,,,,,,,
37052,6,17,0,12,0,-1,1,,,,,,,
37053,8,23,1,11,2,-1,0,,,,,,,
37054,J,26,1,18,1,-1,0,,,,,,,
37055,5,24,1,21,0,1,0,,,,,,,
37056,3,25,1,21,0,1,0,,,,,,,
37057,2,20,0,18,1,-1,0,,,,,,,
37058,4,21,0,13,0,-1,1,,,,,,,
37059,6,18,0,16,1,-1,0,,,,,,,
37060,A,21,0,7,0,-1,1,,,,,,,
37061,4,18,0,14,2,1,1,,,,,,,
37062,7,17,0,16,1,-1,0,,,,,,,
37063,10,20,0,10,2,1,1,,,,,,,
37064,4,19,0,16,1,-1,0,,,,,,,
37065,3,21,0,12,1,-1,0,,,,,,,
37066,10,24,1,15,2,-1,0,,,,,,,
37067,8,17,0,21,0,1,0,,,,,,,
37068,K,19,0,18,2,-1,0,,,,,,,
37069,7,17,0,21,0,1,0,,,,,,,
37070,K,19,0,14,0,-1,1,,,,,,,
37071,Q,17,0,16,1,-1,0,,,,,,,
37072,Q,20,0,16,0,-1,1,,,,,,,
37073,6,24,1,8,2,-1,0,,,,,,,
37074,J,19,0,14,0,-1,1,,,,,,,
37075,8,19,0,19,1,-1,0,,,,,,,
37076,8,22,1,5,3,-1,0,,,,,,,
37077,8,24,1,12,0,1,0,,,,,,,
37078,9,19,0,20,1,-1,0,,,,,,,
37079,4,20,0,9,3,-1,0,,,,,,,
37080,3,21,0,20,0,-1,1,,,,,,,
37081,4,17,0,14,1,1,1,,,,,,,
37082,8,23,1,20,1,-1,0,,,,,,,
37083,3,21,0,17,1,-1,0,,,,,,,
37084,Q,19,0,12,0,-1,1,,,,,,,
37085,5,21,0,11,4,-1,0,,,,,,,
37086,Q,20,0,15,0,-1,1,,,,,,,
37087,2,20,0,6,2,-1,0,,,,,,,
37088,10,20,0,14,0,-1,1,,,,,,,
37089,7,17,0,16,1,-1,0,,,,,,,
37090,3,24,1,20,0,1,0,,,,,,,
37091,3,20,0,17,2,-1,0,,,,,,,
37092,2,17,0,21,0,1,0,,,,,,,
37093,K,20,0,14,0,-1,1,,,,,,,
37094,10,19,0,20,1,-1,0,,,,,,,
37095,5,26,1,13,0,1,0,,,,,,,
37096,7,17,0,14,0,-1,1,,,,,,,
37097,9,20,0,19,0,-1,1,,,,,,,
37098,2,19,0,20,1,-1,0,,,,,,,
37099,5,25,1,12,0,1,0,,,,,,,
37100,3,23,1,21,0,1,0,,,,,,,
37101,7,25,1,8,1,1,1,,,,,,,
37102,5,22,1,20,1,-1,0,,,,,,,
37103,2,26,1,19,0,1,0,,,,,,,
37104,Q,20,0,17,0,-1,1,,,,,,,
37105,6,17,0,8,2,-1,0,,,,,,,
37106,2,26,1,14,2,1,1,,,,,,,
37107,2,21,0,14,1,0,1,,,,,,,
37108,J,20,0,11,1,-1,0,,,,,,,
37109,7,22,1,16,1,-1,0,,,,,,,
37110,6,17,0,10,2,-1,0,,,,,,,
37111,6,21,0,17,1,-1,0,,,,,,,
37112,8,19,0,9,2,1,1,,,,,,,
37113,3,20,0,14,4,-1,0,,,,,,,
37114,8,18,0,18,1,-1,0,,,,,,,
37115,7,21,0,14,1,-1,0,,,,,,,
37116,5,22,1,14,1,1,1,,,,,,,
37117,5,22,1,8,2,-1,0,,,,,,,
37118,6,17,0,14,3,-1,0,,,,,,,
37119,2,19,0,12,2,-1,0,,,,,,,
