,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
195,J,20,0,16,0,-1,1,,,,,,,
196,8,18,0,7,1,1,1,,,,,,,
197,10,20,0,16,0,-1,1,,,,,,,
198,5,23,1,10,2,-1,0,,,,,,,
199,7,18,0,20,1,-1,0,,,,,,,
200,10,21,0,13,0,-1,1,,,,,,,
201,9,17,0,17,1,-1,0,,,,,,,
202,K,21,0,18,0,-1,1,,,,,,,
203,3,22,1,10,2,-1,0,,,,,,,
204,7,21,0,20,1,-1,0,,,,,,,
205,6,19,0,18,2,-1,0,,,,,,,
206,Q,26,1,11,1,1,1,,,,,,,
207,K,17,0,16,2,-1,0,,,,,,,
208,10,20,0,19,1,-1,0,,,,,,,
209,A,21,0,21,0,0,0,,,,,,,
210,10,19,0,18,1,-1,0,,,,,,,
211,8,18,0,9,2,-1,0,,,,,,,
212,A,17,0,20,1,1,1,,,,,,,
213,3,19,0,18,1,1,1,,,,,,,
214,6,17,0,13,0,-1,1,,,,,,,
215,10,20,0,18,1,-1,0,,,,,,,
216,7,17,0,16,2,1,1,,,,,,,
217,3,25,1,17,2,-1,0,,,,,,,
218,Q,19,0,7,2,-1,0,,,,,,,
219,K,17,0,11,3,-1,0,,,,,,,
220,10,21,0,14,0,-1,1,,,,,,,
221,8,18,0,10,2,-1,0,,,,,,,
222,10,20,0,13,0,-1,1,,,,,,,
223,3,23,1,16,3,-1,0,,,,,,,
224,A,25,1,11,2,-1,0,,,,,,,
225,5,23,1,19,1,-1,0,,,,,,,
226,8,17,0,20,1,1,1,,,,,,,
227,3,26,1,20,1,-1,0,,,,,,,
228,4,24,1,16,4,1,1,,,,,,,
229,Q,18,0,17,1,-1,0,,,,,,,
230,Q,26,1,13,1,-1,0,,,,,,,
231,2,24,1,21,0,1,0,,,,,,,
232,Q,20,0,15,0,-1,1,,,,,,,
233,J,21,0,19,0,-1,1,,,,,,,
234,5,17,0,16,1,-1,0,,,,,,,
235,J,26,1,16,1,-1,0,,,,,,,
236,10,22,1,20,1,-1,0,,,,,,,
237,J,20,0,10,2,-1,0,,,,,,,
238,A,18,0,14,0,-1,1,,,,,,,
239,K,18,0,20,2,-1,0,,,,,,,
240,10,20,0,15,0,-1,1,,,,,,,
241,4,20,0,18,0,-1,1,,,,,,,
242,9,26,1,14,0,1,0,,,,,,,
243,Q,26,1,12,0,1,0,,,,,,,
244,8,18,0,16,0,-1,1,,,,,,,
245,A,20,0,15,0,-1,1,,,,,,,
246,2,22,1,12,2,-1,0,,,,,,,
247,6,22,1,20,1,-1,0,,,,,,,
248,Q,20,0,13,0,-1,1,,,,,,,
249,K,20,0,14,0,-1,1,,,,,,,
250,9,19,0,17,0,-1,1,,,,,,,
251,Q,23,1,19,1,-1,0,,,,,,,
252,4,24,1,15,2,-1,0,,,,,,,
253,Q,20,0,12,0,-1,1,,,,,,,
254,K,23,1,9,2,-1,0,,,,,,,
255,J,21,0,13,2,-1,0,,,,,,,
256,J,18,0,18,1,-1,0,,,,,,,
257,3,26,1,13,1,1,1,,,,,,,
258,10,21,0,18,0,-1,1,,,,,,,
259,6,17,0,19,1,-1,0,,,,,,,
260,3,19,0,21,0,1,0,,,,,,,
261,7,18,0,9,2,1,1,,,,,,,
262,K,21,0,19,0,-1,1,,,,,,,
263,4,18,0,15,1,-1,0,,,,,,,
264,J,19,0,15,1,-1,0,,,,,,,
265,A,21,0,19,0,-1,1,,,,,,,
266,A,18,0,11,2,-1,0,,,,,,,
267,Q,20,0,10,1,-1,0,,,,,,,
268,Q,21,0,18,0,-1,1,,,,,,,
269,3,23,1,12,2,1,1,,,,,,,
