,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
48127,J,20,0,18,0,-1,1,
48128,Q,21,0,15,0,-1,1,
48129,9,23,1,21,0,1,0,
48130,J,26,1,9,1,1,1,
48131,2,17,0,13,0,-1,1,
48132,7,24,1,20,0,1,0,
48133,4,24,1,16,0,1,0,
48134,K,25,1,14,0,1,0,
48135,Q,23,1,15,0,1,0,
48136,K,20,0,21,0,1,0,
48137,10,18,0,9,1,-1,0,
48138,5,20,0,20,0,0,0,
48139,6,26,1,20,0,1,0,
48140,6,17,0,11,1,1,1,
48141,5,19,0,12,0,-1,1,
48142,9,17,0,20,0,1,0,
48143,3,20,0,10,1,0,1,
48144,Q,20,0,14,0,-1,1,
48145,6,18,0,21,0,1,0,
48146,A,21,0,17,0,-1,1,
48147,6,17,0,13,0,-1,1,
48148,4,19,0,10,1,-1,0,
48149,8,17,0,17,0,0,0,
48150,10,20,0,7,1,-1,0,
48151,5,26,1,16,0,1,0,
48152,7,22,1,8,1,1,1,
48153,J,23,1,20,0,1,0,
48154,6,22,1,18,0,1,0,
48155,8,17,0,21,0,1,0,
48156,5,18,0,14,0,-1,1,
48157,4,21,0,13,0,-1,1,
48158,7,24,1,20,0,1,0,
48159,4,17,0,11,1,-1,0,
48160,4,18,0,13,0,-1,1,
48161,J,20,0,4,1,-1,0,
48162,4,17,0,11,1,1,1,
48163,9,25,1,20,0,1,0,
48164,5,17,0,12,0,-1,1,
48165,J,21,0,13,0,-1,1,
48166,4,18,0,15,0,-1,1,
48167,3,21,0,16,0,-1,1,
48168,2,23,1,12,0,1,0,
48169,4,22,1,14,0,1,0,
48170,3,20,0,20,0,0,0,
48171,3,23,1,14,0,1,0,
48172,5,25,1,13,0,1,0,
48173,7,18,0,16,0,-1,1,
48174,J,26,1,16,0,1,0,
48175,6,24,1,12,0,1,0,
48176,Q,17,0,15,0,-1,1,
48177,A,17,0,12,0,-1,1,
48178,2,21,0,21,0,0,0,
48179,9,19,0,16,0,-1,1,
48180,Q,18,0,14,0,-1,1,
48181,Q,25,1,20,0,1,0,
48182,K,20,0,15,0,-1,1,
48183,K,23,1,15,0,1,0,
48184,9,23,1,16,0,1,0,
48185,7,17,0,18,0,1,0,
48186,A,19,0,20,0,1,0,
48187,10,20,0,7,1,-1,0,
48188,9,19,0,12,0,-1,1,
48189,3,23,1,18,0,1,0,
48190,6,24,1,13,0,1,0,
48191,10,20,0,21,0,1,0,
48192,5,20,0,18,0,-1,1,
48193,9,17,0,14,0,-1,1,
48194,6,25,1,20,0,1,0,
48195,10,23,1,18,0,1,0,
48196,9,21,0,13,0,-1,1,
48197,2,19,0,4,1,-1,0,
48198,6,20,0,10,1,-1,0,
48199,K,17,0,21,0,1,0,
48200,9,19,0,14,0,-1,1,
48201,4,25,1,19,0,1,0,
48202,J,18,0,14,0,-1,1,
48203,10,22,1,13,0,1,0,
48204,J,20,0,16,0,-1,1,
48205,J,17,0,11,1,1,1,
48206,K,20,0,11,1,-1,0,
48207,10,20,0,13,0,-1,1,
48208,K,17,0,17,0,0,0,
48209,K,17,0,19,0,1,0,
48210,5,20,0,20,0,0,0,
48211,A,20,0,10,1,-1,0,
48212,3,18,0,12,0,-1,1,
48213,4,18,0,18,0,0,0,
48214,A,21,0,6,0,-1,1,
48215,8,26,1,13,0,1,0,
48216,7,17,0,7,1,0,1,
48217,7,26,1,11,1,1,1,
48218,5,19,0,18,0,-1,1,
48219,10,21,0,13,0,-1,1,
48220,J,21,0,14,0,-1,1,
48221,10,21,0,20,0,-1,1,
48222,10,19,0,11,1,0,1,
48223,J,21,0,10,1,-1,0,
48224,3,19,0,15,0,-1,1,
48225,K,19,0,17,0,-1,1,
48226,9,19,0,20,0,1,0,
48227,4,20,0,20,0,0,0,
48228,6,19,0,11,1,-1,0,
48229,10,21,0,14,0,-1,1,
48230,J,20,0,21,0,1,0,
48231,3,22,1,12,0,1,0,
48232,K,21,0,12,0,-1,1,
48233,2,25,1,13,0,1,0,
48234,10,20,0,6,1,-1,0,
48235,A,21,0,7,0,-1,1,
48236,J,20,0,11,1,0,1,
48237,7,21,0,12,0,-1,1,
48238,6,17,0,21,0,1,0,
48239,5,19,0,12,0,-1,1,
48240,10,26,1,6,1,1,1,
48241,8,21,0,20,0,-1,1,
48242,6,17,0,6,1,0,1,
48243,J,20,0,17,0,-1,1,
48244,K,22,1,16,0,1,0,
48245,7,17,0,9,1,-1,0,
48246,10,18,0,14,0,-1,1,
48247,8,19,0,11,1,-1,0,
48248,A,20,0,16,0,-1,1,
48249,6,17,0,20,0,1,0,
48250,K,21,0,14,0,-1,1,
48251,K,23,1,13,0,1,0,
48252,A,17,0,13,0,-1,1,
48253,6,24,1,19,0,1,0,
48254,5,22,1,12,0,1,0,
48255,8,17,0,14,0,-1,1,
48256,2,24,1,11,1,1,1,
48257,A,24,1,10,1,1,1,
48258,2,19,0,7,1,1,1,
48259,9,19,0,15,0,-1,1,
48260,2,21,0,13,0,-1,1,
48261,7,17,0,16,0,-1,1,
48262,6,17,0,17,0,0,0,
48263,4,24,1,14,0,1,0,
48264,10,17,0,17,0,0,0,
48265,10,20,0,7,1,-1,0,
48266,Q,20,0,12,0,-1,1,
48267,3,23,1,14,0,1,0,
48268,5,25,1,11,1,1,1,
48269,2,18,0,14,0,-1,1,
48270,3,23,1,13,0,1,0,
48271,8,18,0,9,1,0,1,
48272,6,26,1,21,0,1,0,
48273,2,26,1,17,0,1,0,
48274,3,17,0,16,0,-1,1,
48275,Q,20,0,7,1,-1,0,
48276,4,22,1,20,0,1,0,
48277,10,22,1,16,0,1,0,
48278,6,26,1,12,0,1,0,
48279,Q,20,0,17,0,-1,1,
48280,9,21,0,17,0,-1,1,
48281,J,19,0,7,1,-1,0,
48282,Q,18,0,14,0,-1,1,
48283,7,23,1,14,0,1,0,
48284,K,19,0,21,0,1,0,
48285,Q,20,0,19,0,-1,1,
48286,J,21,0,17,0,-1,1,
48287,10,22,1,17,0,1,0,
48288,J,19,0,14,0,-1,1,
48289,3,17,0,14,0,-1,1,
48290,9,17,0,20,0,1,0,
48291,2,18,0,14,0,-1,1,
48292,10,20,0,10,1,-1,0,
48293,2,22,1,12,0,1,0,
48294,4,18,0,20,0,1,0,
48295,A,18,0,13,0,-1,1,
48296,10,17,0,20,0,1,0,
48297,3,22,1,16,0,1,0,
48298,J,22,1,9,1,1,1,
48299,7,20,0,16,0,-1,1,
48300,A,21,0,16,0,-1,1,
48301,4,20,0,14,0,-1,1,
48302,4,20,0,15,0,-1,1,
48303,A,23,1,10,1,1,1,
48304,8,24,1,13,0,1,0,
48305,10,19,0,15,0,-1,1,
48306,A,18,0,7,1,-1,0,
48307,K,19,0,14,0,-1,1,
48308,10,21,0,13,0,-1,1,
48309,8,18,0,15,0,-1,1,
48310,3,17,0,13,0,-1,1,
48311,4,20,0,14,0,-1,1,
48312,2,17,0,14,0,-1,1,
48313,8,17,0,9,1,-1,0,
48314,J,19,0,11,1,1,1,
48315,7,18,0,9,1,-1,0,
48316,4,24,1,4,1,1,1,
48317,5,22,1,12,0,1,0,
48318,K,20,0,16,0,-1,1,
48319,Q,20,0,8,1,-1,0,
48320,4,21,0,12,0,-1,1,
48321,8,19,0,16,0,-1,1,
48322,10,20,0,19,0,-1,1,
48323,Q,23,1,10,1,1,1,
48324,3,26,1,13,0,1,0,
48325,J,24,1,18,0,1,0,
48326,5,18,0,14,0,-1,1,
48327,K,23,1,20,0,1,0,
48328,J,25,1,14,0,1,0,
48329,5,17,0,17,0,0,0,
48330,2,20,0,13,0,-1,1,
48331,A,21,0,16,0,-1,1,
48332,9,19,0,16,0,-1,1,
48333,6,17,0,17,0,0,0,
48334,10,24,1,8,1,1,1,
48335,6,22,1,16,0,1,0,
48336,9,17,0,12,0,-1,1,
48337,A,20,0,17,0,-1,1,
48338,K,21,0,9,1,-1,0,
48339,A,17,0,8,1,-1,0,
48340,5,20,0,20,0,0,0,
48341,9,20,0,16,0,-1,1,
48342,8,22,1,18,0,1,0,
48343,10,19,0,12,1,1,1,
48344,10,19,0,15,0,-1,1,
48345,3,21,0,17,0,-1,1,
48346,A,21,0,20,0,-1,1,
48347,2,19,0,14,0,-1,1,
48348,3,24,1,15,0,1,0,
48349,7,17,0,4,1,-1,0,
48350,7,25,1,5,1,1,1,
48351,J,21,0,12,0,-1,1,
48352,8,17,0,12,0,-1,1,
48353,Q,17,0,20,0,1,0,
48354,5,18,0,11,1,1,1,
48355,10,20,0,9,1,-1,0,
48356,3,18,0,13,0,-1,1,
48357,3,17,0,14,0,-1,1,
48358,6,21,0,18,0,-1,1,
48359,6,18,0,12,0,-1,1,
48360,6,17,0,9,1,-1,0,
48361,6,26,1,12,0,1,0,
48362,A,23,1,10,1,1,1,
48363,J,20,0,7,1,-1,0,
48364,A,21,0,14,0,-1,1,
48365,10,18,0,13,0,-1,1,
48366,6,18,0,15,0,-1,1,
48367,4,23,1,15,0,1,0,
48368,Q,21,0,15,0,-1,1,
48369,2,18,0,8,1,0,1,
48370,A,21,0,16,0,-1,1,
48371,8,18,0,12,0,-1,1,
48372,J,18,0,13,0,-1,1,
48373,10,17,0,14,0,-1,1,
48374,7,26,1,21,0,1,0,
48375,9,17,0,15,0,-1,1,
48376,K,24,1,5,1,1,1,
48377,4,18,0,13,0,-1,1,
48378,9,19,0,19,0,0,0,
48379,7,25,1,17,0,1,0,
48380,5,18,0,13,0,-1,1,
48381,A,21,0,16,0,-1,1,
48382,7,25,1,14,0,1,0,
48383,J,20,0,18,0,-1,1,
48384,7,17,0,10,1,0,1,
48385,10,17,0,5,1,1,1,
48386,9,20,0,11,1,-1,0,
48387,K,19,0,8,1,-1,0,
48388,8,18,0,12,0,-1,1,
48389,K,18,0,16,0,-1,1,
48390,Q,21,0,16,0,-1,1,
48391,K,21,0,14,0,-1,1,
48392,2,22,1,10,1,1,1,
48393,4,19,0,13,0,-1,1,
48394,3,20,0,20,0,0,0,
48395,7,17,0,16,0,-1,1,
48396,8,21,0,6,1,-1,0,
48397,3,24,1,16,0,1,0,
48398,J,26,1,18,0,1,0,
48399,4,21,0,14,0,-1,1,
48400,2,25,1,14,0,1,0,
48401,5,21,0,18,0,-1,1,
48402,J,19,0,15,0,-1,1,
48403,9,25,1,12,0,1,0,
48404,A,18,0,12,0,-1,1,
48405,A,20,0,17,0,-1,1,
48406,5,17,0,14,0,-1,1,
48407,7,17,0,12,0,-1,1,
48408,8,19,0,15,0,-1,1,
48409,5,19,0,17,0,-1,1,
48410,Q,20,0,9,1,-1,0,
48411,A,21,0,12,0,-1,1,
48412,J,20,0,20,0,0,0,
48413,J,21,0,17,0,-1,1,
48414,9,23,1,12,0,1,0,
48415,7,26,1,16,0,1,0,
48416,4,20,0,16,0,-1,1,
48417,K,17,0,12,0,-1,1,
48418,A,18,0,18,0,0,0,
48419,6,24,1,17,0,1,0,
48420,7,22,1,18,0,1,0,
48421,6,25,1,21,0,1,0,
48422,6,17,0,6,1,-1,0,
48423,K,22,1,18,0,1,0,
48424,2,24,1,18,0,1,0,
48425,9,20,0,17,0,-1,1,
48426,8,19,0,6,1,-1,0,
48427,5,21,0,11,1,-1,0,
48428,3,19,0,18,0,-1,1,
48429,Q,21,0,13,0,-1,1,
48430,5,24,1,12,0,1,0,
48431,10,20,0,15,0,-1,1,
48432,10,18,0,11,1,-1,0,
48433,10,25,1,15,0,1,0,
48434,4,20,0,17,0,-1,1,
48435,K,20,0,17,0,-1,1,
48436,K,18,0,11,2,-1,0,
48437,9,19,0,14,0,-1,1,
48438,5,22,1,18,0,1,0,
48439,6,20,0,20,0,0,0,
48440,K,18,0,10,1,-1,0,
48441,8,19,0,20,0,1,0,
48442,3,17,0,19,0,1,0,
48443,7,17,0,19,0,1,0,
48444,K,20,0,7,1,0,1,
48445,7,19,0,18,0,-1,1,
48446,5,24,1,12,0,1,0,
48447,6,26,1,14,0,1,0,
48448,6,19,0,12,0,-1,1,
48449,7,17,0,20,0,1,0,
48450,2,20,0,17,0,-1,1,
48451,8,23,1,13,0,1,0,
48452,4,17,0,12,0,-1,1,
48453,9,18,0,21,0,1,0,
48454,K,20,0,13,0,-1,1,
48455,4,24,1,15,0,1,0,
48456,10,17,0,20,0,1,0,
48457,K,22,1,20,0,1,0,
48458,4,22,1,18,0,1,0,
48459,7,17,0,16,0,-1,1,
48460,4,20,0,11,1,1,1,
48461,9,19,0,7,1,1,1,
48462,3,24,1,18,0,1,0,
48463,3,21,0,16,0,-1,1,
48464,Q,20,0,18,0,-1,1,
48465,10,20,0,16,0,-1,1,
48466,4,25,1,15,0,1,0,
48467,5,25,1,18,0,1,0,
48468,A,19,0,15,0,-1,1,
48469,6,20,0,18,0,-1,1,
48470,J,20,0,10,1,-1,0,
48471,9,18,0,9,1,1,1,
48472,9,19,0,15,0,-1,1,
48473,8,20,0,15,0,-1,1,
48474,4,24,1,15,0,1,0,
48475,4,24,1,14,0,1,0,
48476,3,20,0,8,1,1,1,
48477,10,19,0,16,0,-1,1,
48478,Q,22,1,14,0,1,0,
48479,J,17,0,12,0,-1,1,
48480,2,21,0,21,0,0,0,
48481,2,19,0,16,0,-1,1,
48482,6,19,0,15,0,-1,1,
48483,3,23,1,9,1,1,1,
48484,6,25,1,12,0,1,0,
48485,K,20,0,21,0,1,0,
48486,K,26,1,16,0,1,0,
48487,J,20,0,13,0,-1,1,
48488,3,17,0,19,0,1,0,
48489,9,19,0,14,0,-1,1,
48490,A,21,0,20,0,-1,1,
48491,4,22,1,18,0,1,0,
48492,6,23,1,17,0,1,0,
48493,4,23,1,7,1,1,1,
48494,7,17,0,13,0,-1,1,
48495,3,17,0,13,0,-1,1,
48496,K,23,1,12,0,1,0,
48497,8,17,0,19,0,1,0,
48498,5,18,0,21,0,1,0,
48499,3,20,0,18,0,-1,1,
48500,Q,20,0,16,0,-1,1,
48501,8,20,0,20,0,0,0,
48502,8,17,0,20,0,1,0,
48503,3,21,0,21,0,0,0,
48504,10,20,0,15,0,-1,1,
48505,4,20,0,12,0,-1,1,
48506,5,19,0,13,0,-1,1,
48507,5,25,1,20,0,1,0,
48508,4,18,0,13,0,-1,1,
48509,6,22,1,13,0,1,0,
48510,Q,20,0,21,0,1,0,
48511,3,17,0,14,0,-1,1,
48512,5,25,1,15,0,1,0,
48513,6,25,1,11,1,1,1,
48514,K,20,0,18,0,-1,1,
48515,2,26,1,7,1,1,1,
48516,6,19,0,19,0,0,0,
48517,9,23,1,13,0,1,0,
48518,9,18,0,6,1,1,1,
48519,9,19,0,20,0,1,0,
48520,Q,25,1,15,0,1,0,
48521,K,18,0,13,0,-1,1,
48522,A,21,0,10,1,-1,0,
48523,K,20,0,10,1,-1,0,
48524,6,24,1,10,1,1,1,
48525,10,20,0,13,0,-1,1,
48526,10,20,0,16,0,-1,1,
48527,Q,20,0,13,0,-1,1,
48528,2,21,0,16,0,-1,1,
48529,K,24,1,9,1,1,1,
48530,4,24,1,13,0,1,0,
48531,2,17,0,12,0,-1,1,
48532,A,17,0,20,0,1,0,
48533,2,22,1,15,0,1,0,
48534,6,21,0,20,0,-1,1,
48535,J,19,0,10,1,-1,0,
48536,K,26,1,15,0,1,0,
48537,5,26,1,12,0,1,0,
48538,K,19,0,13,0,-1,1,
48539,8,18,0,11,1,0,1,
48540,9,22,1,16,0,1,0,
48541,2,17,0,10,1,1,1,
48542,J,24,1,16,0,1,0,
48543,5,20,0,13,0,-1,1,
48544,5,20,0,6,1,-1,0,
48545,Q,18,0,19,0,1,0,
48546,8,18,0,14,0,-1,1,
48547,8,24,1,20,0,1,0,
48548,10,26,1,20,0,1,0,
48549,K,18,0,13,0,-1,1,
48550,10,19,0,8,1,0,1,
48551,6,23,1,17,0,1,0,
48552,7,17,0,9,1,1,1,
48553,J,17,0,14,0,-1,1,
48554,A,21,0,20,0,-1,1,
48555,6,26,1,17,0,1,0,
48556,3,17,0,5,1,-1,0,
48557,4,17,0,20,0,1,0,
48558,5,22,1,15,0,1,0,
48559,2,23,1,14,0,1,0,
48560,6,18,0,15,0,-1,1,
48561,9,17,0,21,0,1,0,
48562,Q,24,1,12,0,1,0,
48563,7,17,0,14,0,-1,1,
48564,2,22,1,13,0,1,0,
48565,3,23,1,6,1,1,1,
48566,2,21,0,16,0,-1,1,
48567,J,20,0,17,0,-1,1,
48568,7,20,0,13,0,-1,1,
48569,9,19,0,12,0,-1,1,
48570,5,17,0,15,0,-1,1,
48571,8,19,0,17,0,-1,1,
48572,2,24,1,13,0,1,0,
48573,7,17,0,14,0,-1,1,
48574,9,20,0,18,0,-1,1,
48575,A,22,1,15,0,1,0,
48576,3,20,0,21,0,1,0,
48577,A,21,0,14,0,-1,1,
48578,K,18,0,21,0,1,0,
48579,9,18,0,7,1,-1,0,
48580,Q,19,0,20,0,1,0,
48581,Q,22,1,14,0,1,0,
48582,2,22,1,19,0,1,0,
48583,5,22,1,8,1,1,1,
48584,J,18,0,13,0,-1,1,
48585,Q,18,0,16,0,-1,1,
48586,4,25,1,15,0,1,0,
48587,7,20,0,12,0,-1,1,
48588,4,23,1,12,0,1,0,
48589,J,20,0,12,0,-1,1,
48590,5,23,1,18,0,1,0,
48591,7,21,0,16,0,-1,1,
48592,A,25,1,16,0,1,0,
48593,4,21,0,14,0,-1,1,
48594,5,17,0,18,0,1,0,
48595,A,20,0,21,0,1,0,
48596,K,20,0,12,0,-1,1,
48597,9,19,0,14,0,-1,1,
48598,2,21,0,15,0,-1,1,
48599,4,24,1,20,0,1,0,
48600,2,23,1,8,1,1,1,
48601,10,17,0,16,0,-1,1,
48602,7,17,0,20,0,1,0,
48603,5,20,0,20,0,0,0,
48604,6,25,1,10,1,1,1,
48605,5,22,1,16,0,1,0,
48606,K,26,1,16,0,1,0,
48607,2,22,1,11,1,1,1,
48608,8,19,0,14,0,-1,1,
48609,10,25,1,7,1,1,1,
48610,2,24,1,13,0,1,0,
48611,K,22,1,21,0,1,0,
48612,A,21,0,18,0,-1,1,
48613,5,18,0,20,0,1,0,
48614,Q,18,0,18,0,0,0,
48615,A,19,0,18,0,-1,1,
48616,K,20,0,14,0,-1,1,
48617,A,21,0,14,0,-1,1,
48618,4,22,1,11,1,1,1,
48619,7,17,0,17,0,0,0,
48620,7,21,0,19,0,-1,1,
48621,8,21,0,12,0,-1,1,
48622,Q,21,0,14,0,-1,1,
48623,2,18,0,20,0,1,0,
48624,3,23,1,10,1,1,1,
48625,A,19,0,8,1,-1,0,
48626,J,21,0,14,0,-1,1,
48627,K,20,0,12,0,-1,1,
48628,5,18,0,15,0,-1,1,
48629,A,23,1,16,0,1,0,
48630,K,20,0,17,0,-1,1,
48631,2,18,0,12,0,-1,1,
48632,3,17,0,18,0,1,0,
48633,8,18,0,14,0,-1,1,
48634,4,21,0,20,0,-1,1,
48635,4,23,1,10,1,1,1,
48636,5,21,0,8,1,-1,0,
48637,3,18,0,15,0,-1,1,
48638,2,21,0,13,0,-1,1,
48639,5,18,0,11,1,-1,0,
48640,7,19,0,9,1,-1,0,
48641,3,23,1,18,0,1,0,
48642,6,19,0,13,0,-1,1,
48643,3,17,0,15,0,-1,1,
48644,9,17,0,18,0,1,0,
48645,5,24,1,17,0,1,0,
48646,K,20,0,8,1,-1,0,
48647,7,26,1,15,0,1,0,
48648,10,18,0,19,0,1,0,
48649,A,17,0,20,0,1,0,
48650,Q,19,0,20,0,1,0,
48651,10,21,0,14,0,-1,1,
48652,10,20,0,11,1,-1,0,
48653,K,21,0,8,1,-1,0,
48654,3,21,0,13,0,-1,1,
48655,5,26,1,12,0,1,0,
48656,7,25,1,17,0,1,0,
48657,9,19,0,17,0,-1,1,
48658,8,17,0,21,0,1,0,
48659,J,20,0,21,0,1,0,
48660,4,18,0,12,0,-1,1,
48661,K,25,1,11,1,1,1,
48662,2,21,0,11,1,-1,0,
48663,7,21,0,18,0,-1,1,
48664,2,24,1,18,0,1,0,
48665,2,17,0,7,1,-1,0,
48666,6,24,1,16,0,1,0,
48667,A,19,0,5,1,-1,0,
48668,8,20,0,21,0,1,0,
48669,Q,20,0,17,0,-1,1,
48670,5,24,1,10,1,1,1,
48671,Q,23,1,17,1,-1,0,
48672,6,19,0,18,0,-1,1,
48673,10,18,0,19,0,1,0,
48674,2,24,1,18,0,1,0,
48675,6,22,1,19,0,1,0,
48676,10,20,0,17,0,-1,1,
48677,3,17,0,15,0,-1,1,
48678,6,17,0,8,1,1,1,
48679,7,22,1,20,0,1,0,
48680,8,18,0,11,1,-1,0,
48681,3,21,0,20,0,-1,1,
48682,3,21,0,17,0,-1,1,
48683,8,17,0,18,0,1,0,
48684,6,18,0,13,0,-1,1,
48685,8,21,0,6,1,-1,0,
48686,7,17,0,13,0,-1,1,
48687,A,20,0,11,1,-1,0,
48688,3,19,0,11,1,-1,0,
48689,3,23,1,12,0,1,0,
48690,7,18,0,7,1,-1,0,
48691,7,18,0,21,0,1,0,
48692,7,25,1,15,0,1,0,
48693,3,22,1,21,0,1,0,
48694,6,18,0,21,0,1,0,
48695,10,17,0,14,0,-1,1,
48696,5,25,1,13,0,1,0,
48697,3,23,1,19,0,1,0,
48698,Q,22,1,13,0,1,0,
48699,J,19,0,20,0,1,0,
48700,3,22,1,13,0,1,0,
48701,Q,25,1,21,0,1,0,
48702,3,21,0,6,1,-1,0,
48703,2,17,0,16,0,-1,1,
48704,7,17,0,15,0,-1,1,
48705,10,18,0,13,0,-1,1,
48706,5,21,0,8,1,-1,0,
48707,K,20,0,15,0,-1,1,
48708,6,25,1,16,0,1,0,
48709,5,23,1,16,0,1,0,
48710,5,25,1,18,0,1,0,
48711,4,23,1,14,0,1,0,
48712,5,25,1,11,1,1,1,
48713,Q,20,0,10,1,1,1,
48714,9,19,0,7,1,-1,0,
48715,4,24,1,14,0,1,0,
48716,2,22,1,19,0,1,0,
48717,4,20,0,15,0,-1,1,
48718,8,20,0,13,0,-1,1,
48719,2,21,0,7,1,-1,0,
48720,5,24,1,13,0,1,0,
48721,7,17,0,17,0,0,0,
48722,2,18,0,17,0,-1,1,
48723,4,19,0,15,0,-1,1,
48724,7,18,0,14,0,-1,1,
48725,5,21,0,17,0,-1,1,
48726,4,17,0,17,0,0,0,
48727,6,21,0,12,0,-1,1,
48728,A,19,0,12,0,-1,1,
48729,10,17,0,20,0,1,0,
48730,Q,19,0,18,0,-1,1,
48731,2,22,1,13,0,1,0,
48732,2,19,0,7,1,-1,0,
48733,5,20,0,15,0,-1,1,
48734,8,18,0,17,0,-1,1,
48735,2,20,0,14,0,-1,1,
48736,8,19,0,17,0,-1,1,
48737,10,19,0,16,0,-1,1,
48738,6,22,1,12,0,1,0,
48739,7,17,0,14,0,-1,1,
48740,3,19,0,18,0,-1,1,
48741,A,23,1,15,0,1,0,
48742,6,23,1,20,0,1,0,
48743,4,20,0,16,0,-1,1,
48744,3,18,0,20,0,1,0,
48745,10,20,0,12,0,-1,1,
48746,A,20,0,13,0,-1,1,
48747,8,18,0,17,0,-1,1,
48748,5,19,0,18,0,-1,1,
48749,9,20,0,8,1,-1,0,
48750,10,18,0,18,0,0,0,
48751,4,23,1,20,0,1,0,
48752,Q,19,0,13,0,-1,1,
48753,8,17,0,16,0,-1,1,
48754,6,26,1,13,0,1,0,
48755,Q,23,1,20,0,1,0,
48756,4,23,1,12,0,1,0,
48757,K,20,0,13,0,-1,1,
48758,3,24,1,17,0,1,0,
48759,7,17,0,17,0,0,0,
48760,4,20,0,18,0,-1,1,
48761,A,21,0,12,0,-1,1,
48762,2,18,0,21,0,1,0,
48763,K,21,0,12,0,-1,1,
48764,2,22,1,11,1,1,1,
48765,7,19,0,20,0,1,0,
48766,3,20,0,18,0,-1,1,
48767,A,21,0,19,0,-1,1,
48768,5,17,0,21,0,1,0,
48769,J,17,0,6,1,1,1,
48770,10,18,0,18,0,0,0,
48771,4,23,1,7,1,1,1,
48772,10,21,0,20,0,-1,1,
48773,K,22,1,9,1,1,1,
48774,7,18,0,20,0,1,0,
48775,10,19,0,20,0,1,0,
48776,2,19,0,20,0,1,0,
48777,8,18,0,13,0,-1,1,
48778,7,22,1,9,1,1,1,
48779,J,21,0,16,0,-1,1,
48780,J,23,1,7,1,1,1,
48781,Q,20,0,17,0,-1,1,
48782,5,18,0,11,1,1,1,
48783,Q,21,0,11,1,-1,0,
48784,6,20,0,12,0,-1,1,
48785,4,17,0,15,0,-1,1,
48786,A,20,0,14,0,-1,1,
48787,6,21,0,15,0,-1,1,
48788,7,17,0,13,0,-1,1,
48789,6,23,1,14,0,1,0,
48790,4,24,1,11,1,1,1,
48791,9,18,0,12,0,-1,1,
48792,2,17,0,13,0,-1,1,
48793,8,23,1,16,0,1,0,
48794,4,18,0,20,0,1,0,
48795,10,20,0,12,0,-1,1,
48796,7,19,0,5,1,-1,0,
48797,6,26,1,16,0,1,0,
48798,10,23,1,11,1,1,1,
48799,9,18,0,18,0,0,0,
48800,4,18,0,16,0,-1,1,
48801,5,25,1,9,1,1,1,
48802,K,19,0,17,0,-1,1,
48803,8,17,0,21,0,1,0,
48804,J,20,0,13,0,-1,1,
48805,9,24,1,17,0,1,0,
48806,9,21,0,20,0,-1,1,
48807,4,19,0,15,0,-1,1,
48808,3,26,1,17,0,1,0,
48809,5,19,0,14,0,-1,1,
48810,3,18,0,15,0,-1,1,
48811,9,19,0,13,0,-1,1,
48812,7,18,0,17,0,-1,1,
48813,10,20,0,12,0,-1,1,
48814,6,22,1,12,0,1,0,
48815,Q,20,0,14,0,-1,1,
48816,5,20,0,15,0,-1,1,
48817,J,20,0,15,0,-1,1,
48818,J,20,0,14,0,-1,1,
48819,10,17,0,15,0,-1,1,
48820,Q,19,0,19,0,0,0,
48821,4,22,1,10,1,1,1,
48822,10,19,0,15,0,-1,1,
48823,9,20,0,11,1,-1,0,
48824,6,20,0,18,0,-1,1,
48825,6,23,1,13,0,1,0,
48826,J,20,0,10,1,0,1,
48827,9,19,0,21,0,1,0,
48828,A,21,0,16,0,-1,1,
48829,10,19,0,16,0,-1,1,
48830,K,20,0,14,0,-1,1,
48831,J,17,0,16,0,-1,1,
48832,7,17,0,14,0,-1,1,
48833,5,20,0,18,0,-1,1,
48834,6,21,0,16,0,-1,1,
48835,3,21,0,17,0,-1,1,
48836,6,23,1,14,0,1,0,
48837,4,17,0,12,0,-1,1,
48838,4,18,0,17,0,-1,1,
48839,6,21,0,21,0,0,0,
48840,K,19,0,14,0,-1,1,
48841,4,25,1,20,0,1,0,
48842,K,19,0,21,0,1,0,
48843,9,24,1,10,1,1,1,
48844,7,21,0,12,0,-1,1,
48845,7,22,1,16,0,1,0,
48846,J,20,0,13,0,-1,1,
48847,10,17,0,17,0,0,0,
48848,2,18,0,14,0,-1,1,
48849,3,23,1,12,0,1,0,
48850,Q,20,0,18,0,-1,1,
48851,4,19,0,14,0,-1,1,
48852,4,18,0,19,0,1,0,
48853,K,20,0,17,0,-1,1,
48854,J,21,0,9,0,-1,1,
48855,J,25,1,17,0,1,0,
48856,7,17,0,15,0,-1,1,
48857,6,19,0,13,0,-1,1,
48858,6,24,1,14,0,1,0,
48859,3,24,1,15,0,1,0,
48860,7,26,1,20,0,1,0,
48861,4,26,1,17,0,1,0,
48862,J,19,0,12,0,-1,1,
48863,7,21,0,15,0,-1,1,
48864,K,21,0,12,0,-1,1,
48865,4,22,1,13,0,1,0,
48866,7,22,1,17,0,1,0,
48867,A,17,0,20,0,1,0,
48868,Q,20,0,16,0,-1,1,
48869,3,21,0,16,0,-1,1,
48870,2,21,0,14,0,-1,1,
48871,Q,20,0,6,1,-1,0,
48872,A,21,0,12,0,-1,1,
48873,3,22,1,15,0,1,0,
48874,9,26,1,21,0,1,0,
48875,5,22,1,20,0,1,0,
48876,9,19,0,12,0,-1,1,
