,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
437,5,24,1,13,0,1,0,
438,3,17,0,20,0,1,0,
439,K,20,0,16,0,-1,1,
440,3,17,0,21,0,1,0,
441,8,17,0,12,0,-1,1,
442,8,18,0,16,0,-1,1,
443,Q,19,0,8,1,-1,0,
444,A,21,0,19,0,-1,1,
445,7,17,0,14,0,-1,1,
446,3,20,0,21,0,1,0,
447,9,17,0,10,1,1,1,
448,Q,20,0,18,0,-1,1,
449,J,20,0,13,0,-1,1,
450,K,18,0,13,0,-1,1,
451,10,18,0,12,0,-1,1,
452,10,24,1,12,0,1,0,
453,3,18,0,15,0,-1,1,
454,Q,20,0,21,0,1,0,
455,Q,23,1,8,1,1,1,
456,A,20,0,20,0,0,0,
457,2,22,1,21,0,1,0,
458,4,21,0,11,1,-1,0,
459,A,23,1,14,0,1,0,
460,J,20,0,15,0,-1,1,
461,7,18,0,12,0,-1,1,
462,6,26,1,14,0,1,0,
463,3,17,0,20,0,1,0,
464,8,22,1,17,0,1,0,
465,9,17,0,10,1,-1,0,
466,K,22,1,21,0,1,0,
467,3,23,1,19,0,1,0,
468,5,25,1,20,0,1,0,
469,A,21,0,17,0,-1,1,
470,5,20,0,12,0,-1,1,
471,A,22,1,21,0,1,0,
472,K,19,0,13,0,-1,1,
473,J,20,0,19,0,-1,1,
474,8,18,0,13,0,-1,1,
475,K,20,0,13,0,-1,1,
476,2,20,0,19,0,-1,1,
477,9,19,0,15,0,-1,1,
478,6,21,0,20,0,-1,1,
479,2,19,0,14,0,-1,1,
480,2,20,0,21,0,1,0,
481,3,19,0,17,0,-1,1,
482,4,20,0,17,0,-1,1,
483,9,24,1,19,0,1,0,
484,4,17,0,17,0,0,0,
485,Q,17,0,12,0,-1,1,
486,5,24,1,11,1,1,1,
487,7,17,0,18,0,1,0,
488,3,19,0,18,0,-1,1,
489,J,19,0,14,0,-1,1,
490,2,22,1,12,0,1,0,
491,9,19,0,16,0,-1,1,
492,8,22,1,15,0,1,0,
493,4,18,0,18,0,0,0,
494,4,24,1,8,1,1,1,
495,J,23,1,19,0,1,0,
496,10,20,0,19,0,-1,1,
497,J,20,0,20,0,0,0,
498,A,21,0,18,0,-1,1,
499,4,19,0,18,0,-1,1,
500,A,17,0,17,0,0,0,
501,7,24,1,21,0,1,0,
502,9,19,0,15,0,-1,1,
503,3,19,0,13,0,-1,1,
504,5,20,0,16,0,-1,1,
505,A,20,0,9,1,-1,0,
506,5,21,0,13,0,-1,1,
507,9,22,1,14,0,1,0,
508,Q,18,0,19,0,1,0,
509,5,23,1,11,1,1,1,
510,2,23,1,17,0,1,0,
511,J,18,0,20,0,1,0,
512,6,20,0,15,0,-1,1,
513,A,19,0,18,0,-1,1,
514,2,23,1,16,0,1,0,
515,8,24,1,20,0,1,0,
516,4,21,0,15,0,-1,1,
517,5,18,0,12,0,-1,1,
518,3,20,0,15,0,-1,1,
519,6,20,0,19,0,-1,1,
520,7,17,0,16,0,-1,1,
521,Q,22,1,20,0,1,0,
522,7,24,1,12,0,1,0,
523,Q,22,1,8,1,1,1,
524,A,19,0,14,0,-1,1,
525,8,18,0,16,0,-1,1,
526,K,19,0,21,0,1,0,
527,6,24,1,21,0,1,0,
528,7,24,1,20,0,1,0,
529,10,18,0,9,1,-1,0,
530,6,26,1,18,0,1,0,
531,10,17,0,13,0,-1,1,
532,A,18,0,14,0,-1,1,
