,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
1468,8,13,0,16,1,-1.0,0
1469,5,6,0,12,1,-1.0,0
1470,5,0,0,17,0,1.0,0
1471,7,16,1,21,0,1.0,0
1472,K,19,0,14,1,1.0,1
1473,J,16,1,15,2,-1.0,0
1474,J,20,0,15,1,-1.0,0
1475,K,18,0,19,1,-1.0,0
1476,Q,10,0,19,0,1.0,0
1477,J,16,0,7,2,1.0,1
1478,4,5,1,17,1,-1.0,0
1479,6,11,1,20,0,1.0,0
1480,8,11,0,18,0,-1.0,1
1481,3,6,1,13,2,-1.0,0
1482,10,11,0,20,0,1.0,0
1483,2,-2,0,13,1,1.0,1
1484,K,22,0,17,1,-1.0,0
1485,A,22,0,13,0,-1.0,1
1486,2,12,0,5,3,-1.0,0
1487,A,12,1,15,2,1.0,1
1488,J,18,0,13,1,1.0,1
1489,Q,20,0,11,0,-1.0,1
1490,A,12,0,13,2,-1.0,0
1491,6,12,0,14,1,-1.0,0
1492,4,3,0,21,0,1.0,0
1493,3,7,1,12,1,-1.0,0
1494,8,10,1,15,2,-1.0,0
1495,7,6,0,12,1,-1.0,0
1496,A,14,0,20,0,1.0,0
1497,3,3,0,18,0,1.0,0
1498,K,18,1,16,1,-1.0,0
1499,K,21,0,21,0,1.0,0
1500,6,16,0,12,1,-1.0,0
1501,5,15,0,9,1,1.0,1
1502,6,10,0,13,1,-1.0,0
1503,2,12,0,19,0,1.0,0
1504,4,13,0,16,1,1.0,1
1505,3,3,0,15,1,-1.0,0
1506,2,8,1,8,2,-1.0,0
1507,2,6,1,11,2,-1.0,0
1508,5,2,0,13,1,1.0,1
1509,9,13,0,16,1,1.0,1
1510,6,5,0,13,1,-1.0,0
1511,10,6,1,7,1,1.0,1
1512,J,19,0,5,2,-1.0,0
1513,K,14,0,17,1,-1.0,0
1514,A,12,0,9,2,-1.0,0
1515,A,12,1,16,0,1.0,0
1516,3,11,0,13,2,1.0,1
1517,6,6,1,19,0,1.0,0
1518,5,10,0,13,1,-1.0,0
1519,10,17,0,18,1,-1.0,0
1520,Q,14,0,19,0,1.0,0
1521,K,16,0,21,0,1.0,0
1522,9,8,0,11,1,-1.0,0
1523,J,10,1,12,1,-1.0,0
1524,4,1,0,16,1,-1.0,0
1525,3,6,0,5,2,-1.0,0
1526,5,12,0,8,1,1.0,1
1527,7,18,0,15,1,-1.0,0
1528,9,17,0,14,1,-1.0,0
1529,7,17,0,20,0,1.0,0
1530,8,18,0,15,2,1.0,1
1531,3,3,0,12,2,-1.0,0
1532,6,7,0,20,0,1.0,0
1533,7,14,0,7,1,1.0,1
1534,9,15,0,19,0,1.0,0
1535,A,13,0,19,0,1.0,0
1536,4,9,1,5,1,1.0,1
1537,10,14,0,20,0,1.0,0
1538,4,8,0,16,2,-1.0,0
1539,4,1,0,16,1,-1.0,0
1540,3,16,1,5,3,-1.0,0
1541,8,15,0,15,1,1.0,1
1542,2,8,1,18,0,1.0,0
1543,4,13,1,19,0,1.0,0
1544,4,8,0,13,1,1.0,1
1545,8,16,0,13,2,-1.0,0
1546,8,16,0,13,1,-1.0,0
1547,10,11,0,11,1,1.0,1
1548,K,16,0,18,1,-1.0,0
1549,7,11,0,20,0,1.0,0
1550,4,9,0,18,0,-1.0,1
1551,10,6,0,15,0,-1.0,1
1552,3,1,0,9,1,1.0,1
1553,Q,8,0,19,0,1.0,0
1554,3,15,0,18,1,-1.0,0
1555,8,20,0,13,1,1.0,1
1556,4,13,0,20,0,1.0,0
1557,8,18,0,13,1,-1.0,0
1558,8,12,0,5,2,-1.0,0
1559,6,14,0,8,1,1.0,1
1560,3,11,1,16,1,-1.0,0
1561,2,4,1,20,0,1.0,0
1562,9,15,0,7,2,-1.0,0
1563,2,6,0,6,2,1.0,1
1564,7,13,0,15,1,-1.0,0
1565,8,11,0,19,0,1.0,0
1566,7,10,0,13,1,-1.0,0
1567,2,5,1,17,1,1.0,1
1568,10,22,0,17,1,-1.0,0
1569,4,14,1,18,0,1.0,0
1570,6,9,0,15,1,-1.0,0
1571,6,16,0,18,0,1.0,0
1572,8,15,1,12,1,-1.0,0
1573,J,18,0,12,3,-1.0,0
1574,K,19,0,16,0,-1.0,1
1575,8,8,0,9,2,-1.0,0
1576,9,16,0,12,1,-1.0,0
1577,6,6,0,11,3,-1.0,0
1578,2,4,0,15,1,-1.0,0
1579,A,12,0,13,3,-1.0,0
1580,10,15,0,14,0,-1.0,1
1581,2,-2,1,15,1,1.0,1
1582,5,9,0,12,1,-1.0,0
1583,9,14,1,20,0,1.0,0
1584,7,15,1,20,0,1.0,0
1585,J,18,0,7,2,-1.0,0
1586,A,14,0,20,0,1.0,0
1587,Q,11,0,18,0,-1.0,1
1588,K,11,1,13,1,1.0,1
1589,A,15,0,15,1,-1.0,0
1590,3,9,0,20,0,1.0,0
1591,5,9,0,15,2,-1.0,0
1592,A,15,0,15,2,-1.0,0
1593,5,3,0,14,1,-1.0,0
1594,8,4,1,11,1,1.0,1
1595,9,12,0,13,2,1.0,1
1596,4,10,1,19,0,1.0,0
1597,9,20,0,10,2,-1.0,0
1598,J,15,1,16,1,-1.0,0
1599,3,11,1,15,1,1.0,1
1600,2,11,0,14,2,1.0,1
1601,6,9,0,18,0,1.0,0
1602,K,15,0,15,2,-1.0,0
1603,6,7,0,19,0,-1.0,1
1604,6,10,1,4,2,-1.0,0
1605,9,14,0,19,0,1.0,0
1606,J,10,1,14,1,1.0,1
1607,8,12,0,12,1,1.0,1
1608,7,10,0,7,2,1.0,1
1609,8,15,0,11,1,1.0,1
1610,4,12,0,10,1,-1.0,0
1611,Q,20,0,17,1,-1.0,0
1612,7,11,1,12,1,-1.0,0
1613,2,10,0,6,1,-1.0,0
1614,A,12,0,20,0,1.0,0
1615,9,13,1,12,1,1.0,1
1616,K,18,0,19,0,-1.0,1
1617,8,9,0,10,1,1.0,1
1618,10,8,1,7,1,1.0,1
1619,3,7,1,16,1,-1.0,0
1620,8,13,0,17,1,-1.0,0
1621,4,4,1,11,2,1.0,1
1622,J,10,0,20,0,1.0,0
1623,5,17,0,19,0,1.0,0
1624,10,13,1,14,1,1.0,1
1625,J,15,0,16,1,1.0,1
1626,2,11,0,8,3,-1.0,0
1627,10,19,0,20,0,1.0,0
1628,4,9,0,14,2,-1.0,0
1629,8,14,0,13,1,-1.0,0
1630,Q,15,0,14,2,1.0,1
1631,6,9,1,14,1,1.0,1
1632,A,12,0,16,2,-1.0,0
1633,3,6,0,15,1,-1.0,0
1634,J,14,0,15,2,1.0,1
1635,7,2,0,7,1,-1.0,0
1636,J,22,0,17,1,-1.0,0
1637,9,16,0,15,1,-1.0,0
1638,J,13,0,18,0,1.0,0
1639,4,15,0,15,1,-1.0,0
1640,K,13,1,11,1,1.0,1
1641,9,17,0,19,0,1.0,0
1642,10,18,0,15,1,-1.0,0
1643,7,15,0,17,1,-1.0,0
1644,2,6,0,15,1,-1.0,0
1645,8,8,1,15,2,1.0,1
1646,3,8,1,11,1,1.0,1
1647,A,7,0,17,0,1.0,0
1648,6,2,0,5,2,-1.0,0
1649,5,8,1,21,0,1.0,0
1650,Q,16,0,13,1,-1.0,0
1651,8,19,0,12,2,-1.0,0
1652,A,22,0,20,0,-1.0,1
1653,8,18,0,14,2,-1.0,0
1654,3,5,0,12,1,-1.0,0
1655,J,14,1,14,1,-1.0,0
1656,J,10,1,7,1,1.0,1
1657,9,16,0,15,1,-1.0,0
1658,2,5,1,10,1,1.0,1
1659,4,2,0,20,0,1.0,0
1660,A,14,0,17,1,-1.0,0
1661,10,9,1,12,1,1.0,1
1662,K,14,0,16,1,-1.0,0
1663,J,14,0,20,0,-1.0,1
1664,2,-2,1,16,2,1.0,1
1665,5,14,1,12,1,1.0,1
1666,10,18,0,15,1,-1.0,0
1667,5,9,1,20,0,1.0,0
1668,8,17,0,15,1,-1.0,0
1669,6,15,0,6,2,-1.0,0
1670,9,18,0,11,1,1.0,1
1671,5,13,0,9,2,-1.0,0
1672,K,17,0,12,1,1.0,1
1673,4,10,0,20,0,1.0,0
1674,3,1,1,12,1,1.0,1
1675,7,8,0,10,1,1.0,1
1676,4,0,1,9,1,1.0,1
1677,7,8,0,18,0,-1.0,1
1678,2,6,0,6,1,1.0,1
1679,10,15,1,4,2,1.0,1
1680,10,17,1,20,0,1.0,0
1681,2,9,0,19,0,-1.0,1
1682,2,11,0,7,2,-1.0,0
1683,Q,20,0,17,0,-1.0,1
1684,4,5,1,19,0,1.0,0
1685,7,12,1,20,0,1.0,0
1686,4,11,1,15,1,1.0,1
1687,2,4,0,18,0,1.0,0
1688,J,15,0,8,2,-1.0,0
1689,9,7,0,21,0,1.0,0
1690,A,9,0,19,0,1.0,0
1691,10,7,0,10,1,1.0,1
1692,7,5,0,15,0,-1.0,1
1693,6,11,0,15,1,-1.0,0
1694,4,10,0,12,1,-1.0,0
1695,A,17,0,13,1,-1.0,0
1696,6,11,0,11,1,1.0,1
1697,8,13,0,20,0,-1.0,1
1698,J,20,0,12,0,-1.0,1
1699,K,18,0,14,3,-1.0,0
1700,10,11,1,8,1,1.0,1
1701,A,18,0,20,0,-1.0,1
1702,7,11,1,12,1,1.0,1
1703,10,15,0,17,2,-1.0,0
1704,5,11,0,18,0,-1.0,1
1705,Q,7,0,15,0,-1.0,1
1706,8,7,1,17,0,1.0,0
1707,6,2,0,13,1,1.0,1
1708,6,10,0,11,1,1.0,1
1709,9,20,0,19,1,-1.0,0
1710,8,10,0,7,3,-1.0,0
1711,6,13,0,9,2,-1.0,0
1712,Q,13,1,4,2,1.0,1
1713,K,20,0,19,0,-1.0,1
1714,6,10,1,11,1,1.0,1
1715,3,4,0,21,0,1.0,0
1716,A,17,0,13,1,-1.0,0
1717,J,11,0,13,1,-1.0,0
1718,4,3,0,18,0,1.0,0
1719,9,8,0,18,0,-1.0,1
1720,5,5,1,13,1,1.0,1
1721,2,1,0,5,2,1.0,1
1722,2,15,0,17,1,-1.0,0
1723,7,18,0,19,0,1.0,0
1724,4,15,1,9,2,-1.0,0
1725,Q,19,0,15,2,-1.0,0
1726,2,5,0,19,0,-1.0,1
1727,3,3,0,18,0,-1.0,1
1728,7,16,0,13,1,1.0,1
1729,4,6,0,21,0,1.0,0
1730,6,6,1,13,1,1.0,1
1731,7,13,0,14,2,1.0,1
1732,A,11,0,16,0,-1.0,1
1733,3,2,1,19,0,1.0,0
1734,5,8,0,12,2,-1.0,0
1735,4,3,0,14,2,-1.0,0
1736,Q,19,0,5,2,-1.0,0
1737,4,15,1,19,0,1.0,0
1738,Q,22,0,6,0,-1.0,1
1739,A,21,0,13,0,-1.0,1
1740,3,13,0,10,2,-1.0,0
1741,Q,12,0,13,1,1.0,1
1742,2,9,1,14,1,1.0,1
1743,8,15,0,13,1,1.0,1
1744,3,10,1,19,0,1.0,0
1745,4,8,1,20,0,1.0,0
1746,A,16,0,20,0,-1.0,1
1747,3,8,1,20,0,1.0,0
1748,7,11,0,11,2,-1.0,0
1749,8,7,1,21,0,1.0,0
1750,6,10,0,13,1,-1.0,0
1751,Q,16,0,18,1,-1.0,0
1752,J,15,1,10,2,-1.0,0
1753,2,4,0,13,2,-1.0,0
1754,7,13,0,14,1,-1.0,0
1755,9,16,0,13,3,-1.0,0
1756,K,9,0,14,1,-1.0,0
1757,9,11,0,4,2,1.0,1
1758,J,8,1,9,1,1.0,1
1759,Q,13,0,19,0,1.0,0
1760,6,4,0,13,1,-1.0,0
1761,A,6,1,19,0,1.0,0
1762,7,9,1,13,1,-1.0,0
1763,Q,5,1,16,0,1.0,0
1764,J,22,0,16,2,-1.0,0
1765,J,21,0,15,1,-1.0,0
1766,J,20,0,20,0,1.0,0
1767,J,21,0,15,0,-1.0,1
1768,2,7,0,21,0,1.0,0
1769,4,6,0,7,2,-1.0,0
1770,3,8,0,18,0,1.0,0
1771,7,10,1,17,0,1.0,0
1772,5,12,1,17,0,1.0,0
1773,10,8,1,19,0,1.0,0
1774,J,13,0,14,1,1.0,1
1775,5,2,1,9,1,1.0,1
1776,9,11,0,16,1,1.0,1
1777,3,-1,1,20,0,1.0,0
1778,5,11,0,14,1,-1.0,0
1779,6,9,0,19,0,1.0,0
1780,3,13,1,14,2,-1.0,0
1781,A,21,0,20,0,-1.0,1
1782,8,17,0,8,2,1.0,1
1783,9,12,1,20,0,1.0,0
1784,7,15,0,12,2,1.0,1
1785,J,9,1,20,0,1.0,0
1786,8,15,0,19,0,1.0,0
1787,3,10,0,17,2,-1.0,0
1788,2,7,0,16,1,1.0,1
1789,7,7,1,16,0,1.0,0
1790,K,15,0,11,0,-1.0,1
1791,J,7,1,18,0,1.0,0
1792,9,9,1,16,0,1.0,0
1793,8,12,0,19,0,1.0,0
1794,2,7,0,15,1,-1.0,0
1795,6,16,1,20,0,1.0,0
1796,6,14,0,12,1,-1.0,0
1797,8,16,0,16,1,-1.0,0
1798,2,4,0,20,0,1.0,0
1799,Q,19,0,9,0,-1.0,1
1800,7,15,0,14,1,1.0,1
1801,4,7,0,20,0,1.0,0
1802,Q,12,1,18,0,1.0,0
1803,A,17,0,14,0,-1.0,1
1804,10,14,0,17,1,-1.0,0
1805,9,7,0,14,0,-1.0,1
1806,A,15,0,8,0,-1.0,1
1807,3,7,1,15,1,-1.0,0
1808,8,16,0,17,1,-1.0,0
1809,5,13,1,14,1,-1.0,0
1810,J,18,0,17,1,-1.0,0
1811,Q,12,1,19,0,1.0,0
1812,2,8,0,12,2,-1.0,0
1813,8,13,0,19,0,1.0,0
1814,J,12,0,14,1,-1.0,0
1815,J,11,1,20,0,1.0,0
1816,4,9,0,18,0,-1.0,1
1817,10,8,1,13,0,1.0,0
1818,3,7,1,13,1,-1.0,0
1819,7,12,0,18,0,1.0,0
1820,3,7,1,7,2,-1.0,0
1821,3,6,1,14,2,-1.0,0
1822,6,10,0,16,1,-1.0,0
1823,8,13,0,17,1,-1.0,0
1824,4,12,0,12,1,-1.0,0
1825,7,12,1,15,3,-1.0,0
1826,4,11,1,9,1,1.0,1
1827,5,14,0,13,1,-1.0,0
1828,6,14,1,10,2,-1.0,0
1829,9,16,0,14,1,1.0,1
1830,3,10,1,19,0,1.0,0
1831,7,13,0,15,2,1.0,1
1832,Q,16,0,20,0,-1.0,1
1833,A,16,0,19,0,-1.0,1
1834,K,9,0,8,1,1.0,1
1835,K,6,0,15,0,-1.0,1
1836,Q,13,0,20,0,1.0,0
1837,8,20,0,13,1,-1.0,0
1838,2,9,0,12,2,-1.0,0
1839,7,18,0,21,0,1.0,0
1840,4,15,1,13,1,1.0,1
1841,9,15,1,11,1,1.0,1
1842,8,17,0,17,1,-1.0,0
1843,6,7,0,12,2,1.0,1
1844,9,11,1,19,0,1.0,0
1845,J,15,0,16,1,1.0,1
1846,J,10,0,19,0,1.0,0
1847,10,7,0,18,0,-1.0,1
1848,2,6,0,15,2,-1.0,0
1849,10,14,0,11,1,1.0,1
1850,Q,5,1,5,1,1.0,1
1851,J,22,0,20,1,-1.0,0
1852,7,12,0,9,1,-1.0,0
1853,4,6,0,19,0,1.0,0
1854,2,13,0,20,0,-1.0,1
1855,J,18,0,12,3,-1.0,0
1856,J,11,0,10,1,1.0,1
1857,6,9,0,19,0,-1.0,1
1858,K,9,1,21,0,1.0,0
1859,3,8,0,12,1,-1.0,0
1860,4,6,0,20,0,1.0,0
1861,7,12,0,6,2,-1.0,0
1862,7,11,0,11,2,1.0,1
1863,9,10,1,13,1,1.0,1
1864,9,4,0,20,0,1.0,0
1865,4,11,0,12,2,1.0,1
1866,6,10,0,11,3,-1.0,0
1867,4,12,1,21,0,1.0,0
1868,6,16,1,19,0,1.0,0
1869,6,12,1,20,0,1.0,0
1870,K,13,1,17,1,-1.0,0
1871,8,16,0,13,1,-1.0,0
1872,J,13,1,13,1,-1.0,0
1873,A,8,0,14,0,-1.0,1
1874,Q,14,0,17,1,1.0,1
1875,4,2,0,10,2,-1.0,0
1876,J,13,0,11,2,1.0,1
1877,8,11,0,13,3,-1.0,0
1878,6,10,0,21,0,1.0,0
1879,7,19,0,12,1,1.0,1
1880,A,17,0,12,1,1.0,1
1881,9,12,0,10,3,-1.0,0
1882,2,9,0,7,2,-1.0,0
1883,K,14,0,9,2,-1.0,0
1884,9,16,0,9,3,1.0,1
1885,K,11,0,19,0,1.0,0
1886,10,17,0,19,1,-1.0,0
1887,8,14,0,7,1,1.0,1
1888,J,7,1,19,0,1.0,0
1889,Q,12,0,19,0,1.0,0
1890,A,15,0,6,0,-1.0,1
1891,Q,14,0,20,0,1.0,0
1892,K,14,0,5,0,-1.0,1
1893,Q,22,0,17,2,-1.0,0
1894,J,18,0,15,2,-1.0,0
1895,K,22,0,19,0,-1.0,1
1896,A,15,0,20,0,1.0,0
1897,Q,11,0,11,1,1.0,1
1898,K,17,0,12,1,1.0,1
1899,A,11,0,20,0,1.0,0
1900,2,9,1,15,1,-1.0,0
1901,9,8,0,12,0,-1.0,1
1902,Q,15,0,8,2,-1.0,0
1903,2,0,0,19,0,1.0,0
1904,8,6,0,13,0,-1.0,1
1905,A,15,0,9,0,-1.0,1
1906,6,2,0,16,0,-1.0,1
1907,2,5,0,12,2,-1.0,0
1908,5,13,0,18,0,-1.0,1
1909,3,6,1,6,2,-1.0,0
1910,5,15,1,20,0,1.0,0
1911,K,21,0,17,0,-1.0,1
1912,3,12,1,12,1,-1.0,0
1913,3,13,1,18,1,-1.0,0
1914,10,17,0,18,1,-1.0,0
1915,8,11,0,11,1,1.0,1
1916,A,18,0,12,0,-1.0,1
1917,10,8,1,16,0,1.0,0
1918,K,14,0,12,2,-1.0,0
1919,6,3,1,8,1,1.0,1
1920,4,8,1,14,1,-1.0,0
1921,2,2,0,9,2,-1.0,0
1922,5,12,1,15,1,-1.0,0
1923,A,15,0,20,0,1.0,0
1924,K,20,0,20,0,1.0,0
1925,6,15,1,20,0,1.0,0
1926,2,4,0,12,1,1.0,1
1927,J,18,0,13,2,-1.0,0
1928,4,11,1,19,0,1.0,0
1929,7,10,1,11,2,-1.0,0
1930,J,16,0,20,0,1.0,0
1931,8,8,0,17,0,-1.0,1
1932,A,13,0,13,1,-1.0,0
1933,A,11,0,19,0,1.0,0
1934,J,14,0,17,1,-1.0,0
1935,4,1,0,9,1,1.0,1
1936,10,18,1,13,1,1.0,1
1937,6,14,1,13,1,1.0,1
1938,10,19,0,11,2,-1.0,0
1939,6,16,0,21,0,1.0,0
1940,7,11,0,16,1,1.0,1
1941,3,6,0,14,1,-1.0,0
1942,3,8,0,15,2,-1.0,0
1943,2,4,1,15,1,1.0,1
1944,A,16,0,11,2,-1.0,0
1945,4,10,1,14,2,1.0,1
1946,A,14,0,14,2,-1.0,0
1947,7,9,1,20,0,1.0,0
1948,K,7,0,14,0,-1.0,1
1949,2,3,0,17,1,-1.0,0
1950,10,16,1,20,0,1.0,0
1951,5,17,0,13,1,1.0,1
1952,7,11,0,19,0,1.0,0
1953,Q,21,0,10,0,-1.0,1
1954,Q,19,0,12,2,-1.0,0
1955,4,12,1,20,0,1.0,0
1956,J,18,0,14,1,1.0,1
1957,J,15,0,10,3,-1.0,0
1958,A,12,0,14,1,1.0,1
1959,6,10,1,20,0,1.0,0
1960,2,1,0,10,2,1.0,1
1961,J,14,0,13,2,-1.0,0
1962,6,9,1,20,0,1.0,0
1963,3,2,0,12,1,-1.0,0
1964,9,18,1,16,1,-1.0,0
1965,K,21,0,10,1,1.0,1
1966,2,8,0,20,0,1.0,0
1967,6,14,0,17,0,1.0,0
1968,Q,19,0,13,2,-1.0,0
1969,2,11,1,18,1,-1.0,0
1970,3,11,0,20,0,1.0,0
1971,K,14,0,20,0,1.0,0
1972,10,18,0,17,0,-1.0,1
1973,10,16,0,12,1,1.0,1
1974,Q,15,0,7,2,-1.0,0
1975,K,13,0,13,2,-1.0,0
1976,4,8,1,19,0,1.0,0
1977,A,11,0,15,0,-1.0,1
1978,5,16,1,15,1,1.0,1
1979,A,18,0,13,2,1.0,1
1980,2,12,0,21,0,1.0,0
1981,J,13,1,14,1,-1.0,0
1982,9,13,1,14,1,-1.0,0
1983,2,8,0,14,2,-1.0,0
1984,6,5,1,8,2,1.0,1
1985,3,10,0,7,4,1.0,1
1986,5,11,1,20,0,1.0,0
1987,7,12,0,9,2,1.0,1
1988,7,5,0,20,0,1.0,0
1989,6,10,1,15,1,1.0,1
1990,10,13,0,17,1,-1.0,0
1991,3,15,1,15,2,-1.0,0
1992,8,19,0,15,2,1.0,1
1993,K,12,1,8,2,1.0,1
1994,A,14,1,13,2,1.0,1
1995,2,5,1,16,2,1.0,1
1996,3,9,1,19,0,1.0,0
1997,Q,17,0,5,2,-1.0,0
1998,J,17,0,13,1,1.0,1
1999,A,17,0,20,0,-1.0,1
2000,J,10,0,20,0,1.0,0
2001,J,13,0,21,0,1.0,0
2002,3,1,0,13,1,-1.0,0
2003,7,11,0,10,2,1.0,1
2004,A,14,0,17,0,-1.0,1
2005,K,19,0,18,1,-1.0,0
2006,K,14,1,15,1,-1.0,0
2007,7,10,0,15,1,-1.0,0
2008,5,15,0,10,1,1.0,1
2009,A,11,1,21,0,1.0,0
2010,J,19,0,13,1,-1.0,0
2011,4,10,1,18,0,1.0,0
2012,9,8,0,14,0,-1.0,1
2013,3,11,0,18,0,-1.0,1
2014,Q,13,0,16,3,-1.0,0
2015,10,11,0,14,1,-1.0,0
2016,A,16,0,9,0,-1.0,1
2017,K,12,0,19,0,1.0,0
2018,A,7,0,18,0,-1.0,1
2019,6,3,0,13,1,-1.0,0
2020,4,17,0,9,2,-1.0,0
2021,7,14,0,19,0,1.0,0
2022,6,10,0,13,1,-1.0,0
2023,2,11,0,18,0,-1.0,1
2024,3,13,0,17,1,-1.0,0
2025,A,19,0,15,0,-1.0,1
2026,8,15,0,10,1,1.0,1
2027,7,14,0,13,2,-1.0,0
2028,5,11,0,13,2,-1.0,0
2029,K,14,0,18,1,-1.0,0
2030,6,12,0,19,0,1.0,0
2031,6,2,0,13,1,1.0,1
2032,7,11,0,13,3,-1.0,0
2033,5,7,1,13,1,1.0,1
2034,A,18,1,19,1,-1.0,0
2035,8,11,0,11,1,-1.0,0
2036,2,13,0,19,0,1.0,0
2037,6,15,1,15,1,-1.0,0
2038,Q,15,0,20,0,1.0,0
2039,J,18,0,13,2,-1.0,0
2040,8,15,0,15,1,-1.0,0
2041,5,4,0,15,1,-1.0,0
2042,10,17,0,20,0,-1.0,1
2043,10,15,0,12,2,-1.0,0
2044,9,6,0,16,0,-1.0,1
2045,A,14,0,12,1,1.0,1
2046,8,8,1,20,0,1.0,0
2047,J,13,0,17,1,-1.0,0
2048,A,23,0,20,0,-1.0,1
2049,K,21,0,15,1,-1.0,0
2050,9,16,1,8,3,-1.0,0
2051,Q,13,0,21,0,1.0,0
2052,2,8,0,19,0,1.0,0
2053,7,15,1,9,2,-1.0,0
2054,4,4,1,10,2,-1.0,0
2055,8,16,0,10,1,-1.0,0
2056,K,16,0,21,0,1.0,0
2057,Q,16,0,14,1,1.0,1
2058,4,9,0,14,1,1.0,1
2059,2,2,0,14,1,-1.0,0
2060,A,14,0,12,1,-1.0,0
2061,3,-2,1,12,1,1.0,1
2062,6,11,0,19,0,1.0,0
2063,J,21,0,18,1,-1.0,0
2064,7,17,0,18,0,1.0,0
2065,Q,19,0,11,2,-1.0,0
2066,2,9,0,15,1,-1.0,0
2067,K,15,0,8,3,1.0,1
2068,8,14,0,16,1,1.0,1
2069,10,16,0,16,1,-1.0,0
2070,J,9,1,11,1,1.0,1
2071,5,10,0,8,3,-1.0,0
2072,3,6,0,8,1,1.0,1
2073,5,4,0,15,1,1.0,1
2074,3,6,1,14,2,-1.0,0
2075,2,6,1,20,0,1.0,0
2076,6,17,0,16,1,-1.0,0
2077,6,18,0,17,1,-1.0,0
2078,6,13,0,13,1,1.0,1
2079,9,11,0,20,0,-1.0,1
2080,3,11,0,12,1,-1.0,0
2081,K,13,1,19,0,1.0,0
2082,10,12,0,9,2,-1.0,0
2083,10,13,1,6,2,1.0,1
2084,2,1,1,11,2,1.0,1
2085,5,9,1,7,2,-1.0,0
2086,6,3,0,15,1,-1.0,0
2087,9,13,0,15,1,-1.0,0
2088,8,8,1,15,1,-1.0,0
2089,5,8,0,20,0,1.0,0
2090,6,10,1,19,0,1.0,0
2091,6,13,0,11,3,-1.0,0
2092,7,11,1,21,0,1.0,0
2093,7,18,0,11,3,1.0,1
2094,A,15,0,16,2,1.0,1
2095,9,15,0,20,0,1.0,0
2096,A,13,1,12,3,-1.0,0
2097,7,7,0,20,0,-1.0,1
2098,K,15,0,15,1,-1.0,0
2099,3,2,1,9,1,1.0,1
2100,6,11,1,11,1,1.0,1
2101,5,10,0,11,2,-1.0,0
2102,6,5,0,15,2,-1.0,0
2103,6,2,0,12,2,-1.0,0
2104,10,17,1,13,2,1.0,1
2105,3,15,1,12,1,1.0,1
2106,K,15,0,18,1,-1.0,0
2107,A,11,0,8,2,-1.0,0
2108,5,10,0,11,1,1.0,1
2109,6,14,1,15,1,1.0,1
2110,10,17,0,14,2,-1.0,0
2111,9,15,0,7,2,1.0,1
2112,3,9,1,14,1,1.0,1
2113,3,8,1,21,0,1.0,0
2114,3,8,1,17,1,-1.0,0
2115,6,5,0,21,0,1.0,0
2116,5,6,1,14,1,-1.0,0
2117,2,8,0,21,0,1.0,0
2118,A,16,1,16,2,1.0,1
2119,J,20,0,10,3,-1.0,0
2120,7,12,0,12,1,-1.0,0
2121,8,11,1,12,1,-1.0,0
2122,K,17,0,20,0,1.0,0
2123,8,13,0,11,2,-1.0,0
2124,4,11,0,19,0,1.0,0
2125,5,12,0,12,1,1.0,1
2126,2,6,1,15,1,1.0,1
2127,7,11,1,19,0,1.0,0
2128,6,10,1,15,2,-1.0,0
2129,J,7,0,14,0,-1.0,1
2130,5,8,1,12,1,-1.0,0
2131,8,20,0,17,1,-1.0,0
2132,Q,21,0,6,3,-1.0,0
2133,8,19,0,18,1,-1.0,0
2134,7,9,0,13,1,-1.0,0
2135,A,12,0,16,0,-1.0,1
2136,10,14,0,20,0,1.0,0
2137,2,8,1,13,1,-1.0,0
2138,10,12,0,15,1,-1.0,0
2139,7,12,1,14,1,-1.0,0
2140,2,0,0,8,1,1.0,1
2141,Q,14,0,14,1,-1.0,0
2142,8,13,0,20,0,1.0,0
2143,Q,14,0,14,1,-1.0,0
2144,10,11,0,11,2,1.0,1
2145,7,14,0,20,0,1.0,0
2146,K,16,0,9,4,-1.0,0
2147,10,16,0,8,2,-1.0,0
2148,J,21,0,15,0,-1.0,1
2149,A,11,0,21,0,1.0,0
2150,5,13,1,12,2,1.0,1
2151,8,17,0,17,1,-1.0,0
2152,10,15,0,20,0,1.0,0
2153,Q,9,1,16,0,1.0,0
2154,2,6,0,11,3,-1.0,0
2155,10,7,1,14,0,1.0,0
2156,2,0,0,16,1,-1.0,0
2157,6,7,1,17,0,1.0,0
2158,6,7,1,17,0,1.0,0
2159,2,8,0,20,0,1.0,0
2160,2,9,1,17,1,-1.0,0
2161,J,21,0,13,0,-1.0,1
2162,6,16,0,13,1,-1.0,0
2163,4,14,0,15,1,-1.0,0
2164,4,11,0,10,2,1.0,1
2165,3,8,0,11,1,1.0,1
2166,7,7,1,11,1,1.0,1
2167,3,8,0,8,1,-1.0,0
2168,A,11,0,12,1,1.0,1
2169,K,15,0,20,0,1.0,0
2170,J,14,0,14,1,1.0,1
2171,5,10,1,20,0,1.0,0
2172,6,4,1,10,1,1.0,1
2173,K,14,1,13,2,-1.0,0
2174,Q,19,0,12,3,-1.0,0
2175,4,8,1,19,0,1.0,0
2176,2,12,1,15,2,-1.0,0
2177,10,19,0,20,0,1.0,0
2178,7,15,0,16,1,-1.0,0
2179,3,5,0,21,0,1.0,0
