,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
488,3,16,1,18,1,-1.0,0
489,8,15,0,13,1,-1.0,0
490,2,8,1,11,1,1.0,1
491,4,13,1,20,0,1.0,0
492,4,8,0,13,1,1.0,1
493,8,16,0,18,0,1.0,0
494,8,16,0,21,0,1.0,0
495,10,11,0,4,3,-1.0,0
496,K,16,0,15,2,-1.0,0
497,7,11,0,18,0,1.0,0
498,4,9,0,13,1,-1.0,0
499,10,6,0,14,0,-1.0,1
500,3,1,0,13,1,-1.0,0
501,Q,8,0,10,1,1.0,1
502,3,15,0,12,2,-1.0,0
503,8,20,0,15,2,-1.0,0
504,4,13,0,21,0,1.0,0
505,8,18,0,18,1,-1.0,0
506,8,12,0,14,1,-1.0,0
507,6,14,0,13,1,-1.0,0
508,3,11,1,15,1,1.0,1
509,2,4,1,13,2,-1.0,0
510,9,15,0,16,2,-1.0,0
511,2,6,0,13,2,1.0,1
512,7,13,0,13,1,-1.0,0
513,8,11,0,17,1,-1.0,0
514,7,10,0,15,2,-1.0,0
515,2,5,1,14,1,-1.0,0
516,10,22,0,18,1,-1.0,0
517,4,14,1,16,1,1.0,1
518,6,9,0,19,0,1.0,0
519,6,16,0,20,0,1.0,0
520,8,15,1,17,1,-1.0,0
521,J,18,0,12,1,1.0,1
522,K,19,0,5,0,-1.0,1
523,8,8,0,17,0,-1.0,1
524,9,16,0,20,0,1.0,0
525,6,6,0,7,1,-1.0,0
526,2,4,0,17,3,-1.0,0
527,A,12,0,20,0,1.0,0
528,10,15,0,11,0,-1.0,1
529,2,-2,1,14,3,-1.0,0
530,5,9,0,14,1,1.0,1
531,9,14,1,19,0,1.0,0
532,7,15,1,18,0,1.0,0
533,J,18,0,14,1,-1.0,0
534,A,14,0,17,2,-1.0,0
535,Q,11,0,18,0,-1.0,1
536,K,11,1,20,0,1.0,0
537,A,15,0,21,0,1.0,0
538,3,9,0,12,1,-1.0,0
539,5,9,0,19,0,1.0,0
540,A,15,0,13,1,-1.0,0
541,5,3,0,17,0,-1.0,1
