,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
316,10,20,0,13,0,-1.0,1
317,2,18,0,15,0,-1.0,1
318,8,20,0,14,0,-1.0,1
319,10,17,0,19,0,1.0,0
320,5,20,0,19,0,-1.0,1
321,K,19,0,12,0,-1.0,1
322,6,21,0,15,0,-1.0,1
323,7,22,1,12,0,1.0,0
324,8,19,0,12,0,-1.0,1
325,9,17,0,16,0,-1.0,1
326,2,21,0,12,0,-1.0,1
327,Q,25,1,12,0,1.0,0
328,8,23,1,12,0,1.0,0
329,A,19,0,20,0,1.0,0
330,10,18,0,20,0,1.0,0
331,7,25,1,17,0,1.0,0
332,9,19,0,13,0,-1.0,1
333,9,17,0,7,0,-1.0,1
334,J,24,1,8,1,1.0,1
335,A,17,0,17,0,0.0,0
336,9,20,0,15,0,-1.0,1
337,2,17,0,10,0,-1.0,1
338,A,20,0,12,0,-1.0,1
339,A,17,0,19,0,1.0,0
340,5,18,0,9,1,1.0,1
341,4,22,1,20,0,1.0,0
342,4,17,0,21,0,1.0,0
343,K,18,0,15,0,-1.0,1
344,2,20,0,11,0,-1.0,1
345,K,19,0,12,0,-1.0,1
346,5,25,1,20,0,1.0,0
347,Q,19,0,13,0,-1.0,1
348,3,23,1,12,0,1.0,0
349,4,20,0,20,0,0.0,0
350,7,25,1,20,0,1.0,0
351,7,18,0,16,0,-1.0,1
352,K,17,0,13,0,-1.0,1
353,Q,18,0,12,0,-1.0,1
354,2,22,1,13,0,1.0,0
355,A,26,1,5,1,1.0,1
356,2,23,1,12,0,1.0,0
357,6,18,0,14,0,-1.0,1
358,K,18,0,21,0,1.0,0
359,7,24,1,12,0,1.0,0
360,A,18,0,15,0,-1.0,1
361,3,26,1,17,0,1.0,0
362,J,26,1,20,0,1.0,0
363,7,26,1,11,1,1.0,1
364,10,20,0,12,0,-1.0,1
365,2,17,0,18,0,1.0,0
366,Q,19,0,15,0,-1.0,1
367,J,23,1,15,0,1.0,0
368,Q,18,0,13,0,-1.0,1
369,6,21,0,14,0,-1.0,1
370,2,17,0,21,0,1.0,0
371,K,20,0,10,1,-1.0,0
372,6,22,1,20,0,1.0,0
373,8,21,0,15,0,-1.0,1
374,2,22,1,15,0,1.0,0
375,4,26,1,8,1,1.0,1
376,Q,22,1,7,0,1.0,0
377,9,18,0,12,0,-1.0,1
378,10,20,0,17,0,-1.0,1
379,7,17,0,9,1,-1.0,0
380,8,17,0,15,0,-1.0,1
381,3,23,1,12,0,1.0,0
382,3,25,1,20,0,1.0,0
383,6,22,1,10,0,1.0,0
384,7,17,0,14,0,-1.0,1
385,9,17,0,15,0,-1.0,1
386,10,20,0,16,0,-1.0,1
387,K,20,0,17,0,-1.0,1
388,K,17,0,21,0,1.0,0
389,A,21,0,17,0,-1.0,1
390,3,23,1,7,0,1.0,0
391,4,24,1,10,1,1.0,1
392,6,26,1,13,0,1.0,0
393,10,20,0,7,0,-1.0,1
394,5,21,0,20,0,-1.0,1
395,A,24,1,19,0,1.0,0
396,7,19,0,19,0,0.0,0
397,7,19,0,19,0,0.0,0
398,A,19,0,9,1,-1.0,0
399,4,24,1,12,0,1.0,0
400,A,17,0,19,0,1.0,0
401,A,21,0,14,0,-1.0,1
402,2,22,1,5,0,1.0,0
403,6,23,1,21,0,1.0,0
404,5,22,1,6,1,1.0,1
405,4,17,0,18,0,1.0,0
406,5,17,0,13,0,-1.0,1
407,6,19,0,14,0,-1.0,1
408,9,24,1,18,0,1.0,0
409,4,20,0,12,0,-1.0,1
410,6,25,1,18,0,1.0,0
411,2,19,0,21,0,1.0,0
412,9,20,0,15,0,-1.0,1
413,A,17,0,14,0,-1.0,1
414,6,22,1,13,0,1.0,0
415,3,21,0,8,1,-1.0,0
416,7,17,0,20,0,1.0,0
417,8,25,1,16,0,1.0,0
418,6,26,1,15,0,1.0,0
419,2,26,1,14,0,1.0,0
420,9,25,1,10,1,1.0,1
421,3,20,0,17,0,-1.0,1
422,3,19,0,9,0,-1.0,1
423,A,21,0,12,0,-1.0,1
424,J,20,0,7,1,-1.0,0
425,9,17,0,20,0,1.0,0
426,10,20,0,14,0,-1.0,1
427,10,20,0,21,0,1.0,0
428,K,20,0,12,0,-1.0,1
429,2,19,0,12,0,-1.0,1
430,7,18,0,8,0,-1.0,1
431,4,25,1,15,0,1.0,0
432,3,23,1,13,0,1.0,0
433,5,18,0,19,0,1.0,0
434,9,19,0,8,0,-1.0,1
435,6,23,1,12,0,1.0,0
436,5,19,0,13,0,-1.0,1
437,Q,20,0,7,0,-1.0,1
438,Q,18,0,14,0,-1.0,1
439,Q,20,0,17,0,-1.0,1
440,Q,22,1,15,0,1.0,0
441,6,25,1,20,0,1.0,0
442,Q,18,0,13,0,-1.0,1
443,A,18,0,20,0,1.0,0
444,3,17,0,20,0,1.0,0
445,3,17,0,9,0,-1.0,1
446,A,21,0,17,0,-1.0,1
447,7,22,1,13,0,1.0,0
448,K,19,0,21,0,1.0,0
449,J,20,0,20,0,0.0,0
450,6,25,1,12,0,1.0,0
